Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-20 13:38:27.946646+00:00,2023-07-25 13:31:45.301918+00:00,1088.0,359.9297500000033
ABBV,2023-07-20 13:38:38.294809+00:00,2023-07-27 13:34:03.704715923+00:00,4462.0,-274.65817999996534
ACN,2023-07-25 13:39:50.409238+00:00,2023-07-26 17:27:02.026522+00:00,666.0,-461.1900000000148
ADBE,2023-07-20 13:38:11.142108+00:00,2023-07-27 14:52:07.156459917+00:00,1208.0,-581.4340289999745
AMD,2023-07-27 13:31:17.653441516+00:00,2023-07-27 13:43:45.383943495+00:00,954.0,-720.6201180000064
AMZN,2023-07-20 13:38:36.665306+00:00,2023-07-26 13:30:12.876451+00:00,3220.0,2488.010142000013
BAC,2023-07-21 13:38:30.471985+00:00,2023-07-26 18:41:45.157498+00:00,13146.0,1592.9876250000098
CSCO,2023-07-21 13:38:20.386089+00:00,2023-07-27 19:55:03.303304608+00:00,7942.0,1240.169999999998
JPM,2023-07-20 13:38:31.299271+00:00,2023-07-27 19:55:05.867216127+00:00,2692.0,0.7575640000030717
LLY,2023-07-20 13:38:20.636413+00:00,2023-07-27 19:55:06.000922485+00:00,1376.0,-961.8899439999992
MA,2023-07-21 13:38:26.502555+00:00,2023-07-27 19:55:05.683704853+00:00,1310.0,840.056148000013
META,2023-07-20 13:38:29.838016+00:00,2023-07-21 13:30:44.364804+00:00,332.0,1700.4800959999989
MSFT,2023-07-21 13:38:32.479846+00:00,2023-07-27 19:55:05.654894506+00:00,1220.0,-529.7554799999862
NEE,2023-07-20 13:38:02.955908+00:00,2023-07-27 17:21:43.472916414+00:00,8480.0,2423.5500659999952
NFLX,2023-07-20 13:38:26.351422+00:00,2023-07-21 13:42:29.683788+00:00,462.0,-1249.8501069999966
ORCL,2023-07-20 13:38:15.682053+00:00,2023-07-27 18:25:43.961370727+00:00,5386.0,-256.38010700000245
PEP,2023-07-20 13:38:19.854692+00:00,2023-07-27 18:01:24.206252725+00:00,3326.0,-640.4469129999875
PFE,2023-07-20 13:38:34.205598+00:00,2023-07-27 19:55:08.852260088+00:00,14246.0,843.7629950000245
PG,2023-07-20 13:38:22.304133+00:00,2023-07-20 14:31:41.771103+00:00,700.0,-213.49999999999483
TMO,2023-07-20 13:38:24.660474+00:00,2023-07-27 19:55:04.980140717+00:00,1128.0,1977.179927999996
TSLA,2023-07-20 13:38:35.309307+00:00,2023-07-27 16:09:38.585955271+00:00,2350.0,-642.8174479999783
TXN,2023-07-20 13:37:59.970185+00:00,2023-07-27 14:29:34.278651555+00:00,3466.0,-1092.9393820000014
UNH,2023-07-20 13:38:13.306584+00:00,2023-07-27 19:55:07.641641817+00:00,1242.0,-506.1199899999948
V,2023-07-20 13:38:18.034333+00:00,2023-07-27 14:59:16.492772453+00:00,2634.0,-5584.964196000009
VZ,2023-07-20 13:38:07.315027+00:00,2023-07-27 15:46:41.049886839+00:00,9302.0,-2324.134512000001
XOM,2023-07-24 13:53:52.077342+00:00,2023-07-27 16:24:04.494508222+00:00,4008.0,-1081.7203199999972
