Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-20 13:38:27.946646+00:00,2023-07-25 13:31:45.301918+00:00,1088.0,359.9297500000033
ABBV,2023-07-20 13:38:38.294809+00:00,2023-07-26 14:59:02.136247451+00:00,3722.0,-570.6581799999801
ACN,2023-07-25 13:39:50.409238+00:00,2023-07-26 17:27:02.026522046+00:00,666.0,-461.1900000000148
ADBE,2023-07-20 13:38:11.142108+00:00,2023-07-26 14:11:01.291982689+00:00,1004.0,840.4559670000174
AMZN,2023-07-20 13:38:36.665306+00:00,2023-07-26 13:30:12.876451476+00:00,3220.0,2488.010142000013
BAC,2023-07-21 13:38:30.471985+00:00,2023-07-26 18:41:45.157497822+00:00,13146.0,1592.9876250000098
CSCO,2023-07-21 13:38:20.386089+00:00,2023-07-26 19:55:32.332859036+00:00,5970.0,273.89000000000107
JPM,2023-07-20 13:38:31.299271+00:00,2023-07-26 18:38:28.660878059+00:00,2028.0,-788.3001959999947
LLY,2023-07-20 13:38:20.636413+00:00,2023-07-26 13:45:37.533508654+00:00,1146.0,-287.98994400000413
MA,2023-07-21 13:38:26.502555+00:00,2023-07-26 16:18:52.441090846+00:00,1050.0,-318.2438519999903
META,2023-07-20 13:38:29.838016+00:00,2023-07-21 13:30:44.364804+00:00,332.0,1700.4800959999989
MSFT,2023-07-21 13:38:32.479846+00:00,2023-07-26 13:44:41.675112375+00:00,910.0,-1917.812874999999
NEE,2023-07-20 13:38:02.955908+00:00,2023-07-26 16:00:09.707960423+00:00,7068.0,1411.1100599999975
NFLX,2023-07-20 13:38:26.351422+00:00,2023-07-21 13:42:29.683788+00:00,462.0,-1249.8501069999966
ORCL,2023-07-20 13:38:15.682053+00:00,2023-07-26 14:38:48.209392665+00:00,4478.0,714.4298849999946
PEP,2023-07-20 13:38:19.854692+00:00,2023-07-26 19:55:32.388775420+00:00,2778.0,127.17285500000713
PFE,2023-07-20 13:38:34.205598+00:00,2023-07-26 15:02:28.126364255+00:00,11424.0,630.3210250000191
PG,2023-07-20 13:38:22.304133+00:00,2023-07-20 14:31:41.771103+00:00,700.0,-213.49999999999483
TMO,2023-07-20 13:38:24.660474+00:00,2023-07-26 14:06:43.213799463+00:00,946.0,-512.5800720000054
TSLA,2023-07-20 13:38:35.309307+00:00,2023-07-26 13:46:38.718594874+00:00,1954.0,-1080.7574119999772
TXN,2023-07-20 13:37:59.970185+00:00,2023-07-26 13:51:49.828721021+00:00,2870.0,-102.78968199999821
UNH,2023-07-20 13:38:13.306584+00:00,2023-07-26 19:31:57.711576268+00:00,1036.0,-684.1700129999929
V,2023-07-20 13:38:18.034333+00:00,2023-07-26 14:02:23.248709744+00:00,2192.0,-4294.324196000001
VZ,2023-07-20 13:38:07.315027+00:00,2023-07-21 14:45:07.371114+00:00,6244.0,-758.0165080000004
XOM,2023-07-24 13:53:52.077342+00:00,2023-07-26 18:45:30.560675930+00:00,3010.0,-1116.650320000008
