Symbol,First Action,Last Action,Total Quantity,Profit
A,2023-08-08 13:32:05.763641+00:00,2023-08-09 15:55:24.376609+00:00,1608.0,-660.5500679999994
AAPL,2023-08-04 13:49:10.994322+00:00,2023-08-08 17:16:10.249974+00:00,652.0,590.7900049999996
ABNB,2023-08-04 13:49:15.071166+00:00,2023-08-04 14:06:04.874466+00:00,370.0,233.10000000000358
ABT,2023-08-04 13:49:10.062047+00:00,2023-08-04 19:58:17.521947+00:00,486.0,62.32998600000286
ACN,2023-08-07 13:32:38.991893+00:00,2023-08-09 19:58:09.056554+00:00,326.0,202.41539500000317
ADP,2023-08-04 13:49:05.093346+00:00,2023-08-04 19:58:16.107554+00:00,210.0,247.46001000000035
AMAT,2023-08-07 13:31:30.494513+00:00,2023-08-09 15:14:12.876359+00:00,694.0,-25.84972099999601
AVGO,2023-08-04 13:49:03.878428+00:00,2023-08-04 15:42:20.354094+00:00,58.0,-93.38000000000079
AXP,2023-08-04 13:48:48.570834+00:00,2023-08-04 18:44:17.707418+00:00,314.0,-167.9900000000034
BA,2023-08-04 13:48:52.254217+00:00,2023-08-04 19:48:08.316975+00:00,224.0,-30.240000000001146
BAC,2023-08-04 13:48:55.753355+00:00,2023-08-09 15:25:51.249570+00:00,4940.0,-280.8399999999971
BLK,2023-08-07 13:32:06.969422+00:00,2023-08-07 19:28:10.070784+00:00,48.0,-111.35999999999967
BMY,2023-08-07 13:32:23.612068+00:00,2023-08-09 18:16:03.628229+00:00,1142.0,-42.100079999998314
C,2023-08-04 13:48:40.476103+00:00,2023-08-09 19:58:08.833263+00:00,3394.0,99.01955099999076
CB,2023-08-07 13:31:57.478015+00:00,2023-08-09 15:57:48.306989+00:00,508.0,-147.62001599999837
CHTR,2023-08-07 13:31:42.460098+00:00,2023-08-09 19:49:39.365868+00:00,242.0,-444.66999999999496
CI,2023-08-04 18:41:40.194771+00:00,2023-08-04 18:41:40.194771+00:00,90.0,0.0
CL,2023-08-07 13:32:16.647845+00:00,2023-08-08 19:58:31.337687+00:00,900.0,181.72018200000437
CME,2023-08-07 13:32:47.266797+00:00,2023-08-09 14:54:16.582447+00:00,498.0,-250.51000000000076
COST,2023-08-04 13:49:00.069195+00:00,2023-08-09 19:58:09.621053+00:00,274.0,-189.8499599999949
CRM,2023-08-07 13:32:27.844053+00:00,2023-08-09 18:15:02.643384+00:00,480.0,152.1264000000027
CSCO,2023-08-07 13:32:42.234491+00:00,2023-08-09 16:48:59.227090+00:00,1948.0,-167.12000000000103
CVS,2023-08-04 13:48:37.140985+00:00,2023-08-04 17:27:43.361140+00:00,702.0,-332.8599689999993
DHR,2023-08-04 13:49:32.364428+00:00,2023-08-04 19:58:15.130512+00:00,100.0,152.9999999999987
DUK,2023-08-07 13:31:17.892934+00:00,2023-08-09 16:01:04.020627+00:00,1138.0,-716.2541250000043
ELV,2023-08-04 13:48:34.722819+00:00,2023-08-09 18:32:17.841547+00:00,328.0,-1132.3100080000027
EOG,2023-08-08 13:32:50.220586+00:00,2023-08-08 15:20:50.527784+00:00,268.0,-160.80000000000038
FCX,2023-08-07 13:31:03.891987+00:00,2023-08-09 15:16:09.498566+00:00,2426.0,939.4299999999964
GE,2023-08-04 19:58:17.136265+00:00,2023-08-04 19:58:17.136265+00:00,232.0,0.0
GIL,2023-08-08 13:32:30.304041+00:00,2023-08-08 17:02:32.283670+00:00,1092.0,169.2599999999993
GS,2023-08-04 18:44:11.498966+00:00,2023-08-04 18:44:11.498966+00:00,73.0,0.0
H,2023-08-07 13:32:21.087903+00:00,2023-08-09 14:02:08.156750+00:00,900.0,-259.27999999999895
HON,2023-08-07 13:32:18.640128+00:00,2023-08-09 17:10:14.765127+00:00,546.0,-170.5099639999957
HUM,2023-08-07 13:33:02.192890+00:00,2023-08-09 16:26:19.350519+00:00,206.0,-384.45000500000094
IBM,2023-08-04 13:49:14.177661+00:00,2023-08-09 15:19:17.201750+00:00,1068.0,-12.8234400000037
ICE,2023-08-07 13:31:39.368019+00:00,2023-08-09 15:55:19.411129+00:00,894.0,81.90017400000151
INTC,2023-08-04 13:48:51.006222+00:00,2023-08-09 15:12:56.487278+00:00,4432.0,-390.0398819999896
INTU,2023-08-04 13:49:27.896737+00:00,2023-08-04 15:03:06.959962+00:00,104.0,43.979987999998
ISRG,2023-08-04 13:49:23.823842+00:00,2023-08-04 19:58:16.029969+00:00,166.0,233.2300000000002
JNJ,2023-08-04 13:49:19.681585+00:00,2023-08-04 19:58:16.470907+00:00,306.0,502.4899439999986
JPM,2023-08-04 19:58:15.526538+00:00,2023-08-09 19:58:10.206874+00:00,825.0,148.14009200000064
KLAC,2023-08-07 13:33:10.459019+00:00,2023-08-09 18:16:28.212801+00:00,204.0,-405.0700000000005
KO,2023-08-04 13:49:12.865664+00:00,2023-08-04 19:58:16.624615+00:00,846.0,461.0700000000014
LIN,2023-08-07 13:30:30.124552+00:00,2023-08-09 19:45:50.314588+00:00,268.0,-301.9400000000005
LMT,2023-08-04 13:48:47.138715+00:00,2023-08-04 19:58:17.969457+00:00,116.0,-175.49001999999984
LRCX,2023-08-07 13:31:23.536942+00:00,2023-08-09 14:43:08.190616+00:00,146.0,-321.7300000000055
M,2023-08-07 13:31:11.357899+00:00,2023-08-09 15:15:37.450999+00:00,8548.0,52.059999999998865
MAR,2023-08-07 13:31:14.742866+00:00,2023-08-09 15:13:06.761726+00:00,500.0,168.9148650000027
MC,2023-08-07 13:32:46.209852+00:00,2023-08-09 17:15:55.795843+00:00,1438.0,-643.7268289999995
META,2023-08-07 13:32:25.975247+00:00,2023-08-09 16:18:38.894855+00:00,220.0,-111.02000000000203
MMM,2023-08-07 13:32:14.773124+00:00,2023-08-09 14:04:19.467891+00:00,658.0,-243.32999999999916
MNST,2023-08-07 13:31:28.984274+00:00,2023-08-09 16:20:46.961471+00:00,1810.0,-1136.494456000003
MS,2023-08-04 18:55:10.049376+00:00,2023-08-04 18:55:10.049376+00:00,293.0,0.0
MSFT,2023-08-07 13:33:06.687548+00:00,2023-08-09 17:14:34.434971+00:00,312.0,13.408629000001781
NEE,2023-08-07 13:32:00.968064+00:00,2023-08-09 15:27:31.212144+00:00,1496.0,-414.94015999999414
