Symbol,First Action,Last Action,Total Quantity,Profit
A,2023-08-11 13:32:21.423339+00:00,2023-08-11 13:59:43.440901+00:00,286.0,-191.6200000000005
AAPL,2023-08-11 13:31:54.601423+00:00,2023-08-15 19:58:38.460541120+00:00,494.0,-173.13003999999822
ABNB,2023-08-11 13:32:17.396344+00:00,2023-08-15 15:04:25.744019+00:00,656.0,-423.26001799999995
ABT,2023-08-11 13:31:20.993635+00:00,2023-08-15 19:58:40.397240674+00:00,594.0,93.7600000000007
ADM,2023-08-14 14:08:46.168713+00:00,2023-08-15 14:37:08.670596+00:00,608.0,22.839975999997137
ADP,2023-08-14 14:09:20.953527+00:00,2023-08-15 19:58:38.604157007+00:00,204.0,121.38000000000267
ADSK,2023-08-14 14:10:05.607376+00:00,2023-08-15 19:58:40.426922711+00:00,246.0,-228.7600009999972
AFL,2023-08-14 14:08:01.463963+00:00,2023-08-15 19:58:37.744962251+00:00,676.0,122.51992999999983
ANET,2023-08-11 13:31:48.535617+00:00,2023-08-15 15:03:44.404995+00:00,500.0,-278.58001599999665
AON,2023-08-11 13:31:57.372992+00:00,2023-08-15 19:58:38.018776098+00:00,274.0,-68.5800000000026
AP,2023-08-11 13:31:09.213841+00:00,2023-08-11 14:11:27.499849+00:00,11534.0,-865.0499999999995
APO,2023-08-14 14:10:05.097538+00:00,2023-08-15 19:58:37.996210170+00:00,634.0,-210.8900219999986
ATVI,2023-08-14 14:10:17.138192+00:00,2023-08-15 19:58:38.646420363+00:00,568.0,69.57999999999927
AVGO,2023-08-11 13:31:44.446815+00:00,2023-08-15 19:58:39.167946749+00:00,102.0,8.849999999998431
AXP,2023-08-11 13:30:55.721010+00:00,2023-08-15 14:53:06.837631+00:00,536.0,520.959999999995
AZO,2023-08-14 14:08:30.990030+00:00,2023-08-15 14:24:45.653404+00:00,20.0,-211.20000000000118
B,2023-08-11 13:31:14.167329+00:00,2023-08-11 19:01:48.510196+00:00,950.0,-175.74999999999878
BA,2023-08-11 13:31:18.232895+00:00,2023-08-11 13:55:32.629328+00:00,152.0,-155.7999999999987
BABA,2023-08-11 13:40:22.195652+00:00,2023-08-15 14:05:23.352458+00:00,730.0,540.9648750000006
BAC,2023-08-11 13:31:15.901100+00:00,2023-08-15 16:46:04.581308+00:00,2850.0,653.2200450000013
BDX,2023-08-15 13:47:57.948008+00:00,2023-08-15 19:58:38.656700722+00:00,90.0,81.00000000000051
BIDU,2023-08-14 14:07:53.396441+00:00,2023-08-15 19:26:39.164522+00:00,376.0,208.6400500000019
BSX,2023-08-11 13:31:45.836645+00:00,2023-08-15 15:28:34.326312+00:00,1732.0,-21.919999999996364
BX,2023-08-11 13:54:33.244892+00:00,2023-08-15 19:58:40.495705775+00:00,709.0,280.8831829999972
CAT,2023-08-11 15:40:03.426062+00:00,2023-08-15 19:45:50.899426+00:00,244.0,182.27997000000414
CHTR,2023-08-11 15:55:33.877614+00:00,2023-08-15 19:58:38.999613453+00:00,162.0,-75.43998000000272
CME,2023-08-14 14:09:11.747638+00:00,2023-08-15 19:58:39.533123558+00:00,250.0,-44.109999999998706
CSX,2023-08-11 17:56:11.014058+00:00,2023-08-11 17:56:11.014058+00:00,593.0,0.0
CTAS,2023-08-14 14:08:09.232802+00:00,2023-08-15 19:58:40.304682322+00:00,104.0,34.099988000002554
DE,2023-08-14 14:09:08.010514+00:00,2023-08-14 19:57:51.730461+00:00,58.0,-79.46000000000026
DUK,2023-08-14 14:08:27.333249+00:00,2023-08-15 19:51:54.753388+00:00,554.0,2.7299999999974744
ELV,2023-08-11 13:31:53.444256+00:00,2023-08-11 14:20:59.382814+00:00,78.0,-216.45000000000044
EOG,2023-08-14 14:08:43.976429+00:00,2023-08-15 14:32:55.573472+00:00,392.0,212.74026199999668
ETN,2023-08-11 13:31:03.281770+00:00,2023-08-15 19:58:38.581135059+00:00,404.0,-72.79999999999956
EW,2023-08-14 14:08:23.697684+00:00,2023-08-15 17:37:08.297132+00:00,648.0,29.699912000000595
FCX,2023-08-14 14:08:33.132460+00:00,2023-08-15 16:47:17.156964+00:00,1254.0,793.5099999999981
FI,2023-08-11 13:31:19.560607+00:00,2023-08-11 19:58:08.487058+00:00,290.0,-73.94999999999868
FTNT,2023-08-14 14:08:54.046443+00:00,2023-08-15 14:06:13.780427+00:00,868.0,-261.7399750000004
G,2023-08-11 13:32:42.656010+00:00,2023-08-11 13:32:42.656010+00:00,490.0,0.0
GD,2023-08-14 14:08:29.423558+00:00,2023-08-15 17:48:24.698444+00:00,228.0,-115.23000299999853
GOOG,2023-08-11 19:58:08.639583+00:00,2023-08-15 19:26:24.685832+00:00,436.0,38.980020000003265
HCA,2023-08-14 14:08:58.659115+00:00,2023-08-15 16:36:23.405179+00:00,190.0,-76.2699999999985
HD,2023-08-14 14:09:51.276349+00:00,2023-08-15 17:03:24.086107+00:00,156.0,177.45000000000266
HON,2023-08-11 19:58:07.902279+00:00,2023-08-11 19:58:07.902279+00:00,97.0,0.0
HSY,2023-08-14 14:08:11.154567+00:00,2023-08-15 17:10:06.704652+00:00,230.0,-9.350024999999647
IBM,2023-08-11 13:32:05.557443+00:00,2023-08-15 19:58:38.429064112+00:00,618.0,-73.14997999999966
ICE,2023-08-11 13:31:06.891217+00:00,2023-08-11 19:58:10.768476+00:00,318.0,-144.68999999999946
INTC,2023-08-11 13:32:22.848416+00:00,2023-08-15 14:22:06.306283+00:00,2524.0,-274.32999999999504
INTU,2023-08-14 14:09:22.628254+00:00,2023-08-15 15:17:11.702755+00:00,102.0,-241.87000000000046
ISRG,2023-08-11 13:31:38.876868+00:00,2023-08-11 14:41:07.737616+00:00,120.0,-185.99999999999795
JNJ,2023-08-11 16:13:50.485334+00:00,2023-08-15 19:58:41.121475532+00:00,402.0,-192.62599600000527
KDP,2023-08-14 14:09:06.197321+00:00,2023-08-15 19:58:38.981102995+00:00,1534.0,-134.46000000000055
KLAC,2023-08-14 14:09:00.402859+00:00,2023-08-15 19:30:51.657248+00:00,106.0,351.1874289999996
KO,2023-08-11 13:31:50.560580+00:00,2023-08-14 19:57:52.617226+00:00,1026.0,-0.759957000002089
