Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-20 13:38:27.946646+00:00,2023-07-25 13:31:45.301918+00:00,1088.0,359.9297500000033
ABBV,2023-07-20 13:38:38.294809+00:00,2023-07-28 14:39:22.791727058+00:00,5168.0,1008.0117980000421
ACN,2023-07-25 13:39:50.409238+00:00,2023-07-26 17:27:02.026522+00:00,666.0,-461.1900000000148
ADBE,2023-07-20 13:38:11.142108+00:00,2023-07-28 19:55:02.363663565+00:00,1412.0,954.6759750000103
AMD,2023-07-27 13:31:17.653442+00:00,2023-07-27 13:43:45.383943+00:00,954.0,-720.6201180000064
AMZN,2023-07-20 13:38:36.665306+00:00,2023-07-26 13:30:12.876451+00:00,3220.0,2488.010142000013
BAC,2023-07-21 13:38:30.471985+00:00,2023-07-28 19:55:05.737460581+00:00,16436.0,1434.3372450000127
CSCO,2023-07-21 13:38:20.386089+00:00,2023-07-28 19:55:02.491141954+00:00,9926.0,516.0100000000011
JPM,2023-07-20 13:38:31.299271+00:00,2023-07-27 19:55:05.867216+00:00,2692.0,0.7575640000030717
LLY,2023-07-20 13:38:20.636413+00:00,2023-07-28 19:55:03.760500339+00:00,1606.0,-786.4599739999968
MA,2023-07-21 13:38:26.502555+00:00,2023-07-28 19:55:03.854044651+00:00,1576.0,1762.1361040000047
META,2023-07-20 13:38:29.838016+00:00,2023-07-28 13:51:35.982364925+00:00,668.0,3393.853904000001
MSFT,2023-07-21 13:38:32.479846+00:00,2023-07-28 15:39:06.391749137+00:00,1538.0,-611.2045019999821
NEE,2023-07-20 13:38:02.955908+00:00,2023-07-28 15:34:00.347100046+00:00,9914.0,2053.6146329999906
NFLX,2023-07-20 13:38:26.351422+00:00,2023-07-28 13:51:25.273386088+00:00,716.0,-4522.752628999991
ORCL,2023-07-20 13:38:15.682053+00:00,2023-07-28 19:55:02.749117051+00:00,6288.0,-1108.025055000006
PEP,2023-07-20 13:38:19.854692+00:00,2023-07-28 19:55:03.226292858+00:00,3882.0,-858.5067769999815
PFE,2023-07-20 13:38:34.205598+00:00,2023-07-28 19:55:04.141302275+00:00,17150.0,1454.964971000024
PG,2023-07-20 13:38:22.304133+00:00,2023-07-20 14:31:41.771103+00:00,700.0,-213.49999999999483
TMO,2023-07-20 13:38:24.660474+00:00,2023-07-27 19:55:04.980141+00:00,1128.0,1977.179927999996
TSLA,2023-07-20 13:38:35.309307+00:00,2023-07-28 13:49:00.081532293+00:00,2760.0,-2996.9328979999705
TXN,2023-07-20 13:37:59.970185+00:00,2023-07-28 19:55:02.463240427+00:00,4056.0,-849.2286720000054
UNH,2023-07-20 13:38:13.306584+00:00,2023-07-28 13:52:57.804677053+00:00,1450.0,-1140.480261999991
V,2023-07-20 13:38:18.034333+00:00,2023-07-28 19:55:02.689035176+00:00,3082.0,-5627.524196000015
VZ,2023-07-20 13:38:07.315027+00:00,2023-07-28 19:55:03.027759005+00:00,12436.0,-1305.5845120000033
XOM,2023-07-24 13:53:52.077342+00:00,2023-07-28 13:58:28.066220673+00:00,5004.0,-1447.9206359999916
