Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-20 13:38:27.946646+00:00,2023-07-21 13:30:40.666342909+00:00,538.0,451.92000000000183
ABBV,2023-07-20 13:38:38.294809+00:00,2023-07-20 14:35:22.610257+00:00,764.0,-550.0799999999991
ADBE,2023-07-20 13:38:11.142108+00:00,2023-07-20 14:17:58.011724+00:00,198.0,-245.06004599999255
AMZN,2023-07-20 13:38:36.665306+00:00,2023-07-20 19:43:00.869373+00:00,776.0,1299.799999999998
JPM,2023-07-20 13:38:31.299271+00:00,2023-07-21 13:30:43.487683708+00:00,682.0,-98.82998399999374
LLY,2023-07-20 13:38:20.636413+00:00,2023-07-21 13:30:42.275355556+00:00,232.0,950.0399999999997
META,2023-07-20 13:38:29.838016+00:00,2023-07-21 13:30:44.364804301+00:00,332.0,1700.4800959999989
NEE,2023-07-20 13:38:02.955908+00:00,2023-07-21 13:30:43.148897509+00:00,1458.0,1632.9599999999962
NFLX,2023-07-20 13:38:26.351422+00:00,2023-07-20 13:42:22.280795+00:00,220.0,45.0999999999965
ORCL,2023-07-20 13:38:15.682053+00:00,2023-07-20 13:51:47.924501+00:00,886.0,-129.3103710000026
PEP,2023-07-20 13:38:19.854692+00:00,2023-07-21 13:30:42.737730225+00:00,564.0,536.9798879999962
PFE,2023-07-20 13:38:34.205598+00:00,2023-07-20 14:45:42.253610+00:00,2888.0,-433.1999999999959
PG,2023-07-20 13:38:22.304133+00:00,2023-07-20 14:31:41.771103+00:00,700.0,-213.49999999999483
TMO,2023-07-20 13:38:24.660474+00:00,2023-07-20 14:51:18.915031+00:00,196.0,24.010000000000446
TSLA,2023-07-20 13:38:35.309307+00:00,2023-07-20 14:50:11.895017+00:00,360.0,1420.2000000000078
TXN,2023-07-20 13:37:59.970185+00:00,2023-07-20 18:35:21.435265+00:00,572.0,21.41996999999941
UNH,2023-07-20 13:38:13.306584+00:00,2023-07-21 13:30:41.793029199+00:00,208.0,101.92000000000189
V,2023-07-20 13:38:18.034333+00:00,2023-07-21 13:30:41.687324248+00:00,436.0,-350.980000000003
VZ,2023-07-20 13:38:07.315027+00:00,2023-07-20 15:02:40.401030+00:00,3098.0,-298.0492859999991
