Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-08-18 13:41:10.564036+00:00,2023-08-18 15:52:39.784611+00:00,148.0,-99.24998400000021
ABNB,2023-08-17 14:13:07.732546+00:00,2023-08-18 13:50:34.319210+00:00,470.0,-616.1899999999953
ADBE,2023-08-17 14:11:51.578607+00:00,2023-08-17 16:20:11.953710+00:00,66.0,-53.93998500000009
ADM,2023-08-16 14:04:53.862669+00:00,2023-08-18 19:57:25.901196471+00:00,1048.0,-106.1333369999979
ADP,2023-08-17 14:12:13.276544+00:00,2023-08-18 19:57:26.250851338+00:00,240.0,138.80999999999892
ADSK,2023-08-17 14:12:53.993432+00:00,2023-08-18 14:20:22.951026+00:00,300.0,12.180019999998706
AFL,2023-08-16 14:04:10.282182+00:00,2023-08-18 19:53:20.970565+00:00,1140.0,-250.71016800000274
ANET,2023-08-17 14:12:40.984669+00:00,2023-08-18 14:20:49.816322+00:00,330.0,-267.0000000000009
AON,2023-08-17 14:12:38.052425+00:00,2023-08-18 18:22:05.471768+00:00,186.0,142.5099999999984
APO,2023-08-17 14:12:56.537115+00:00,2023-08-18 15:03:02.812360+00:00,758.0,-94.48000799999907
ATVI,2023-08-17 14:11:53.945369+00:00,2023-08-18 19:57:25.914356789+00:00,666.0,9.420000000000812
AVGO,2023-08-17 14:11:55.501742+00:00,2023-08-18 18:06:14.790653+00:00,70.0,-328.5200350000008
AXP,2023-08-16 14:04:30.073970+00:00,2023-08-18 19:57:28.910196183+00:00,534.0,-398.90831299999684
AZO,2023-08-16 14:04:41.810027+00:00,2023-08-18 17:39:43.460830+00:00,32.0,-506.39999999999964
BA,2023-08-17 14:11:29.790555+00:00,2023-08-18 19:57:26.281782546+00:00,264.0,149.78999999999968
BABA,2023-08-16 14:04:28.297395+00:00,2023-08-18 13:59:36.413700+00:00,954.0,18.609711999999377
BAC,2023-08-16 14:04:55.550394+00:00,2023-08-18 14:25:38.180813+00:00,2932.0,-57.86054799999927
BDX,2023-08-16 14:05:28.328657+00:00,2023-08-17 19:37:07.847435+00:00,216.0,-37.06520799999964
BIDU,2023-08-16 14:04:04.253940+00:00,2023-08-18 14:01:48.554766+00:00,652.0,251.46500700000138
BSX,2023-08-18 13:41:32.441155+00:00,2023-08-18 19:57:26.487731347+00:00,508.0,99.06000000000014
BX,2023-08-16 14:04:24.542448+00:00,2023-08-18 19:57:27.974304859+00:00,886.0,301.9667000000011
CAT,2023-08-16 14:04:16.895203+00:00,2023-08-18 14:05:43.689683+00:00,312.0,-150.68853399999665
CHTR,2023-08-16 14:04:02.602089+00:00,2023-08-18 15:36:28.484643+00:00,200.0,-236.20000000000118
CME,2023-08-17 14:11:57.275148+00:00,2023-08-18 19:57:28.295583809+00:00,294.0,-46.660004999997454
CTAS,2023-08-16 14:04:18.651209+00:00,2023-08-18 19:57:27.140582036+00:00,174.0,-152.54744599999913
DE,2023-08-16 14:05:25.568225+00:00,2023-08-18 14:18:02.435676+00:00,120.0,40.64004000000182
DIS,2023-08-17 14:11:48.492012+00:00,2023-08-18 15:27:42.621141+00:00,700.0,-111.29990000000092
DUK,2023-08-16 14:04:39.181403+00:00,2023-08-18 19:57:29.403624747+00:00,944.0,-118.24414800000137
DXCM,2023-08-17 14:11:59.778238+00:00,2023-08-17 14:52:10.943422+00:00,312.0,-23.400000000000887
EOG,2023-08-16 14:04:48.310771+00:00,2023-08-18 19:57:28.258337093+00:00,666.0,-475.8499660000041
ETN,2023-08-17 14:12:30.203485+00:00,2023-08-18 15:15:36.768929+00:00,280.0,163.3999999999986
EW,2023-08-16 14:04:38.214866+00:00,2023-08-17 17:45:59.589443+00:00,764.0,-104.05243200000183
FCX,2023-08-16 14:04:44.068566+00:00,2023-08-18 14:12:55.630573+00:00,2190.0,89.27000000000326
FTNT,2023-08-16 14:05:03.578158+00:00,2023-08-18 15:27:50.206980+00:00,1482.0,22.111203000004792
GD,2023-08-16 14:04:13.099149+00:00,2023-08-18 19:57:28.885344875+00:00,386.0,-187.87996599999877
GOOG,2023-08-16 14:04:00.553657+00:00,2023-08-18 13:45:12.300343+00:00,664.0,48.57239099999869
HCA,2023-08-16 14:05:08.959296+00:00,2023-08-18 19:57:27.651045209+00:00,320.0,-355.7332959999949
HD,2023-08-16 14:05:29.754504+00:00,2023-08-18 19:57:27.628645011+00:00,260.0,427.38335899999885
HSY,2023-08-16 14:04:22.517437+00:00,2023-08-18 16:48:46.936979+00:00,392.0,-323.3799999999993
IBM,2023-08-17 14:12:34.914632+00:00,2023-08-18 19:46:56.217804+00:00,430.0,35.39000000000132
ICE,2023-08-18 13:40:33.441176+00:00,2023-08-18 19:57:27.005710609+00:00,228.0,57.0
