Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-25 13:31:45.301918+00:00,2023-08-02 19:58:28.201806804+00:00,1125.0,557.8201579999994
ABBV,2023-07-25 13:31:47.129281+00:00,2023-07-28 14:39:22.791727+00:00,3293.0,1268.811798000044
ABNB,2023-08-01 13:39:11.454602+00:00,2023-08-02 17:32:33.996467335+00:00,694.0,-406.5600000000005
ABT,2023-07-31 13:44:12.111620+00:00,2023-08-02 19:58:27.567476855+00:00,1500.0,128.44153199999795
ACN,2023-07-25 13:39:50.409238+00:00,2023-07-26 17:27:02.026522+00:00,666.0,-461.1900000000148
ADBE,2023-07-25 13:31:47.282531+00:00,2023-07-28 19:55:02.363664+00:00,909.0,278.1921079999938
ADI,2023-08-01 13:39:00.931608+00:00,2023-08-01 19:58:01.160335+00:00,262.0,-240.9899580000002
ADP,2023-08-01 13:38:57.440967+00:00,2023-08-01 19:34:00.340504+00:00,212.0,-289.3800000000019
AMD,2023-07-27 13:31:17.653442+00:00,2023-07-27 13:43:45.383943+00:00,954.0,-720.6201180000064
AMZN,2023-07-25 13:31:43.217655+00:00,2023-07-26 13:30:12.876451+00:00,1224.0,838.220141999998
AVGO,2023-07-31 13:44:05.080396+00:00,2023-08-02 19:58:28.393163888+00:00,182.0,338.57000800000526
AXP,2023-07-31 13:43:26.619522+00:00,2023-08-02 19:58:29.315118763+00:00,994.0,878.2627940000084
BA,2023-07-31 13:43:37.698908+00:00,2023-08-02 14:11:47.986995668+00:00,700.0,-782.0315100000056
BAC,2023-07-25 13:40:04.903692+00:00,2023-08-02 15:06:48.624931140+00:00,15050.0,256.6183759999979
BDX,2023-08-02 13:36:27.604698172+00:00,2023-08-02 19:58:29.347034431+00:00,188.0,-136.17996200000277
C,2023-08-01 13:38:40.910536+00:00,2023-08-02 15:17:26.888739166+00:00,2214.0,-116.4995600000062
CI,2023-08-01 13:38:28.238708+00:00,2023-08-02 15:14:39.644705740+00:00,354.0,-825.7763000000009
COST,2023-07-31 13:43:34.349699+00:00,2023-08-02 19:58:28.148309858+00:00,296.0,-724.0699999999952
CRM,2023-07-31 13:44:21.339478+00:00,2023-08-02 19:58:28.224427502+00:00,740.0,-862.0029279999949
CSCO,2023-07-25 13:39:57.173111+00:00,2023-07-28 19:55:02.491142+00:00,7906.0,219.490000000004
CVS,2023-08-01 13:38:39.527417+00:00,2023-08-02 13:42:57.879288662+00:00,1412.0,-325.150523999999
DHR,2023-07-31 13:44:26.233916+00:00,2023-08-02 13:43:04.549559750+00:00,650.0,1.199896000005026
ELV,2023-07-31 13:43:23.343700+00:00,2023-08-02 18:56:53.354688508+00:00,354.0,-801.6799679999956
GE,2023-07-31 13:43:20.373154+00:00,2023-08-02 19:58:28.302443165+00:00,1468.0,-908.4096050000028
GS,2023-07-31 13:43:15.628598+00:00,2023-08-02 14:56:11.135815128+00:00,468.0,150.930034000003
HD,2023-08-02 13:36:22.613858016+00:00,2023-08-02 19:58:30.074300072+00:00,156.0,-170.29997400000036
IBM,2023-07-31 13:44:01.100123+00:00,2023-08-02 19:58:28.725461901+00:00,1162.0,-165.78996000000458
INTU,2023-07-31 13:44:14.523770+00:00,2023-08-02 19:58:28.583377723+00:00,326.0,-681.2599999999982
ISRG,2023-07-31 13:44:18.076917+00:00,2023-08-02 19:58:29.008757698+00:00,512.0,11.039975000001846
JNJ,2023-07-31 13:43:59.041846+00:00,2023-08-02 19:58:28.632330169+00:00,980.0,-210.29533100000478
