Symbol,First Action,Last Action,Total Quantity,Profit
A,2023-08-08 13:32:05.763641+00:00,2023-08-09 15:55:24.376609+00:00,1608.0,-660.5500679999994
AAPL,2023-08-07 13:32:29.403169+00:00,2023-08-10 19:11:12.683031+00:00,584.0,527.8814210000024
ACN,2023-08-07 13:32:38.991893+00:00,2023-08-09 19:58:09.056554+00:00,326.0,202.41539500000317
AMAT,2023-08-07 13:31:30.494513+00:00,2023-08-09 15:14:12.876359+00:00,694.0,-25.84972099999601
ANET,2023-08-10 14:18:06.452058+00:00,2023-08-10 16:47:04.295754+00:00,206.0,231.75
AP,2023-08-10 14:17:44.709910+00:00,2023-08-10 14:20:40.140033+00:00,9796.0,-881.6400000000008
AXP,2023-08-10 14:17:30.375588+00:00,2023-08-10 16:20:12.492492+00:00,222.0,-186.48000000000076
B,2023-08-10 14:17:50.308975+00:00,2023-08-10 14:47:26.710572+00:00,942.0,-273.18000000000256
BA,2023-08-10 14:17:57.201777+00:00,2023-08-10 15:20:38.486626+00:00,154.0,-176.39999299999994
BABA,2023-08-10 14:17:13.809718+00:00,2023-08-10 14:36:19.228793+00:00,386.0,-138.98991500000105
BAC,2023-08-07 13:31:32.262266+00:00,2023-08-10 17:42:04.977931+00:00,4462.0,-112.16999999999803
BLK,2023-08-07 13:32:06.969422+00:00,2023-08-07 19:28:10.070784+00:00,48.0,-111.35999999999967
BMY,2023-08-07 13:32:23.612068+00:00,2023-08-09 18:16:03.628229+00:00,1142.0,-42.100079999998314
BSX,2023-08-10 14:18:08.643713+00:00,2023-08-10 19:11:13.246924+00:00,716.0,78.11989600000042
BX,2023-08-10 14:17:17.495821+00:00,2023-08-10 14:38:20.613692+00:00,366.0,-168.1599810000008
C,2023-08-07 13:33:12.949925+00:00,2023-08-09 19:58:08.833263+00:00,2264.0,188.48994299999282
CAT,2023-08-10 14:17:20.590806+00:00,2023-08-10 14:41:46.286157+00:00,128.0,-198.63001599999916
CB,2023-08-07 13:31:57.478015+00:00,2023-08-09 15:57:48.306989+00:00,508.0,-147.62001599999837
CHTR,2023-08-07 13:31:42.460098+00:00,2023-08-10 14:45:32.621514+00:00,328.0,-1092.4792329999955
CL,2023-08-07 13:32:16.647845+00:00,2023-08-08 19:58:31.337687+00:00,900.0,181.72018200000437
CME,2023-08-07 13:32:47.266797+00:00,2023-08-09 14:54:16.582447+00:00,498.0,-250.51000000000076
COST,2023-08-07 13:32:37.093395+00:00,2023-08-09 19:58:09.621053+00:00,182.0,-10.159959999993703
