Symbol,First Action,Last Action,Total Quantity,Profit
AAPL,2023-07-20 13:38:27.946646+00:00,2023-07-25 13:31:45.301917593+00:00,1088.0,359.9297500000033
ABBV,2023-07-20 13:38:38.294809+00:00,2023-07-25 13:31:47.129281375+00:00,2242.0,-260.80000000000217
ADBE,2023-07-20 13:38:11.142108+00:00,2023-07-25 13:31:47.282531401+00:00,604.0,676.4838670000165
AMZN,2023-07-20 13:38:36.665306+00:00,2023-07-25 13:31:43.217655265+00:00,2402.0,1649.790000000015
BAC,2023-07-21 13:38:30.471985+00:00,2023-07-24 14:28:25.674889+00:00,6642.0,370.1088690000069
CSCO,2023-07-21 13:38:20.386089+00:00,2023-07-24 13:45:53.288073+00:00,2020.0,-60.6000000000023
JPM,2023-07-20 13:38:31.299271+00:00,2023-07-24 14:26:59.048526+00:00,1362.0,-564.5701439999917
LLY,2023-07-20 13:38:20.636413+00:00,2023-07-24 15:26:58.750529+00:00,688.0,-121.399944
MA,2023-07-21 13:38:26.502555+00:00,2023-07-24 14:37:08.553140+00:00,528.0,-568.7399520000047
META,2023-07-20 13:38:29.838016+00:00,2023-07-21 13:30:44.364804+00:00,332.0,1700.4800959999989
MSFT,2023-07-21 13:38:32.479846+00:00,2023-07-24 14:18:46.121596+00:00,610.0,-262.11647500000527
NEE,2023-07-20 13:38:02.955908+00:00,2023-07-24 19:36:19.070797+00:00,4276.0,1522.7900600000048
NFLX,2023-07-20 13:38:26.351422+00:00,2023-07-21 13:42:29.683788+00:00,462.0,-1249.8501069999966
ORCL,2023-07-20 13:38:15.682053+00:00,2023-07-25 13:31:55.021920757+00:00,2694.0,973.1098849999876
PEP,2023-07-20 13:38:19.854692+00:00,2023-07-25 13:31:56.241966675+00:00,1676.0,-306.60256599999246
PFE,2023-07-20 13:38:34.205598+00:00,2023-07-25 13:31:45.765947751+00:00,7178.0,102.55000000001286
PG,2023-07-20 13:38:22.304133+00:00,2023-07-20 14:31:41.771103+00:00,700.0,-213.49999999999483
TMO,2023-07-20 13:38:24.660474+00:00,2023-07-24 19:09:14.118989+00:00,578.0,1308.979999999997
TSLA,2023-07-20 13:38:35.309307+00:00,2023-07-24 14:05:10.273373+00:00,1168.0,-2573.7165139999765
TXN,2023-07-20 13:37:59.970185+00:00,2023-07-25 13:31:50.534041411+00:00,1732.0,-2173.779684000001
UNH,2023-07-20 13:38:13.306584+00:00,2023-07-25 13:31:42.886501786+00:00,624.0,-122.72000000000071
V,2023-07-20 13:38:18.034333+00:00,2023-07-25 13:31:54.533154752+00:00,1316.0,-335.28014000000496
VZ,2023-07-20 13:38:07.315027+00:00,2023-07-21 14:45:07.371114+00:00,6244.0,-758.0165080000004
XOM,2023-07-24 13:53:52.077342+00:00,2023-07-24 15:22:14.188763+00:00,1016.0,-528.9402680000037
