Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
V,220,220.0,market,sell,,239.951363,filled,2023-07-25 13:31:14.678111077+00:00,2023-07-25 13:31:54.533154752+00:00
UNH,104,104.0,market,sell,,509.0,filled,2023-07-25 13:31:14.580132166+00:00,2023-07-25 13:31:42.886501786+00:00
TXN,286,286.0,market,sell,,185.163007,filled,2023-07-25 13:31:14.489993944+00:00,2023-07-25 13:31:50.534041411+00:00
PFE,706,706.0,market,buy,,37.41,filled,2023-07-25 13:31:14.391696163+00:00,2023-07-25 13:31:45.765947751+00:00
PEP,277,277.0,market,sell,,190.31473,filled,2023-07-25 13:31:14.305981701+00:00,2023-07-25 13:31:56.241966675+00:00
ORCL,448,448.0,market,sell,,117.87,filled,2023-07-25 13:31:14.208103800+00:00,2023-07-25 13:31:55.021920757+00:00
AMZN,406,406.0,market,sell,,129.21,filled,2023-07-25 13:31:14.114017679+00:00,2023-07-25 13:31:43.217655265+00:00
ADBE,101,101.0,market,sell,,519.337921,filled,2023-07-25 13:31:14.013567698+00:00,2023-07-25 13:31:47.282531401+00:00
ABBV,367,367.0,market,buy,,142.45,filled,2023-07-25 13:31:13.919579607+00:00,2023-07-25 13:31:47.129281375+00:00
AAPL,275,275.0,market,buy,,193.21,filled,2023-07-25 13:31:13.829009335+00:00,2023-07-25 13:31:45.301917593+00:00
V,220,0.0,market,sell,,,canceled,2023-07-25 13:30:15.165803596+00:00,
UNH,104,0.0,market,sell,,,canceled,2023-07-25 13:30:15.064692035+00:00,
TXN,286,0.0,market,sell,,,canceled,2023-07-25 13:30:14.962904795+00:00,
PFE,706,0.0,market,buy,,,canceled,2023-07-25 13:30:14.864394504+00:00,
PEP,277,0.0,market,sell,,,canceled,2023-07-25 13:30:14.752745064+00:00,
ORCL,448,0.0,market,sell,,,canceled,2023-07-25 13:30:14.668782831+00:00,
AMZN,406,0.0,market,sell,,,canceled,2023-07-25 13:30:14.573036020+00:00,
ADBE,101,0.0,market,sell,,,canceled,2023-07-25 13:30:14.490318918+00:00,
ABBV,367,0.0,market,buy,,,canceled,2023-07-25 13:30:14.392067937+00:00,
AAPL,275,0.0,market,buy,,,canceled,2023-07-25 13:30:14.280661277+00:00,
ADBE,101,0.0,trailing_stop,sell,519.5916,,canceled,2023-07-25 13:30:01.119764186+00:00,
