Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
WM,106,106.0,market,buy,,159.880189,filled,2023-08-08 19:58:30.072219+00:00,2023-08-08 19:58:33.714095+00:00
SPY,31,31.0,market,buy,,448.98,filled,2023-08-08 19:58:29.982038+00:00,2023-08-08 19:58:31.902785+00:00
RTX,200,200.0,market,sell,,86.24,filled,2023-08-08 19:58:29.892458+00:00,2023-08-08 19:58:30.070877+00:00
REGN,22,22.0,market,sell,,780.18,filled,2023-08-08 19:58:29.800947+00:00,2023-08-08 19:58:30.116046+00:00
PG,109,109.0,market,buy,,157.17,filled,2023-08-08 19:58:29.711104+00:00,2023-08-08 19:58:30.184860+00:00
PFE,479,479.0,market,buy,,35.65,filled,2023-08-08 19:58:29.621666+00:00,2023-08-08 19:58:30.874531+00:00
ORLY,18,18.0,market,buy,,929.58,filled,2023-08-08 19:58:29.547102+00:00,2023-08-08 19:58:30.785026+00:00
NOW,30,30.0,market,sell,,552.98,filled,2023-08-08 19:58:29.446036+00:00,2023-08-08 19:58:32.065154+00:00
MAR,83,83.0,market,sell,,206.485181,filled,2023-08-08 19:58:29.353111+00:00,2023-08-08 19:58:31.907979+00:00
HON,90,90.0,market,buy,,187.68,filled,2023-08-08 19:58:29.270824+00:00,2023-08-08 19:58:29.507155+00:00
FCX,404,404.0,market,sell,,42.68,filled,2023-08-08 19:58:29.171654+00:00,2023-08-08 19:58:30.308765+00:00
CRM,79,79.0,market,buy,,211.85,filled,2023-08-08 19:58:29.083166+00:00,2023-08-08 19:58:32.441979+00:00
COST,30,30.0,market,buy,,556.56,filled,2023-08-08 19:58:28.993359+00:00,2023-08-08 19:58:29.640773+00:00
CME,82,82.0,market,buy,,205.21,filled,2023-08-08 19:58:28.914306+00:00,2023-08-08 19:58:30.026583+00:00
CL,222,222.0,market,buy,,76.369099,filled,2023-08-08 19:58:28.814726+00:00,2023-08-08 19:58:31.337687+00:00
CHTR,40,40.0,market,sell,,420.0,filled,2023-08-08 19:58:28.724233+00:00,2023-08-08 19:58:28.862150+00:00
MSFT,51,51.0,trailing_stop,buy,326.23,326.24,filled,2023-08-08 19:50:40.018698+00:00,2023-08-08 19:50:40.908166+00:00
SYK,59,59.0,trailing_stop,buy,282.2041,282.36,filled,2023-08-08 19:42:32.230091+00:00,2023-08-08 19:42:32.942931+00:00
HUM,34,34.0,trailing_stop,buy,494.2435,494.37,filled,2023-08-08 19:20:19.635861+00:00,2023-08-08 19:20:20.445273+00:00
QCOM,143,143.0,trailing_stop,buy,117.11455,117.13,filled,2023-08-08 18:59:15.064767+00:00,2023-08-08 18:59:16.485308+00:00
ACN,54,54.0,trailing_stop,buy,312.7162,312.82,filled,2023-08-08 18:35:13.061473+00:00,2023-08-08 18:35:14.715566+00:00
KLAC,33,33.0,trailing_stop,buy,496.92,497.3,filled,2023-08-08 18:18:31.571567+00:00,2023-08-08 18:18:32.806383+00:00
TMO,31,31.0,trailing_stop,buy,551.069938,551.38,filled,2023-08-08 17:40:35.972822+00:00,2023-08-08 17:40:36.226067+00:00
UNP,74,74.0,trailing_stop,buy,228.6337,228.65,filled,2023-08-08 17:33:46.422263+00:00,2023-08-08 17:33:48.922022+00:00
AAPL,95,95.0,trailing_stop,buy,179.3558,179.374105,filled,2023-08-08 17:16:08.803732+00:00,2023-08-08 17:16:10.249974+00:00
CSCO,322,322.0,trailing_stop,buy,52.87855,52.89,filled,2023-08-08 17:16:02.711260+00:00,2023-08-08 17:16:03.360280+00:00
GIL,546,546.0,trailing_stop,buy,30.7141,30.73,filled,2023-08-08 17:02:30.956015+00:00,2023-08-08 17:02:32.283670+00:00
VMW,107,107.0,trailing_stop,buy,158.6508,158.78,filled,2023-08-08 16:52:56.434265+00:00,2023-08-08 16:52:56.854396+00:00
C,373,373.0,trailing_stop,buy,44.5814,44.59,filled,2023-08-08 16:16:27.334601+00:00,2023-08-08 16:16:28.621874+00:00
JPM,109,109.0,trailing_stop,buy,154.126,154.13,filled,2023-08-08 15:50:53.887694+00:00,2023-08-08 15:50:53.983844+00:00
EOG,134,134.0,trailing_stop,buy,126.5732,126.59,filled,2023-08-08 15:20:49.477347+00:00,2023-08-08 15:20:50.527784+00:00
NTES,158,158.0,trailing_stop,buy,106.7873,106.9,filled,2023-08-08 15:15:06.879968+00:00,2023-08-08 15:15:07.500668+00:00
ICE,147,147.0,trailing_stop,sell,114.5727,114.56,filled,2023-08-08 14:52:05.358780+00:00,2023-08-08 14:52:05.866930+00:00
NEE,249,249.0,trailing_stop,sell,68.2605,68.26,filled,2023-08-08 14:46:23.812261+00:00,2023-08-08 14:46:26.750092+00:00
TGT,129,129.0,trailing_stop,sell,129.8979,129.83155,filled,2023-08-08 14:21:02.613922+00:00,2023-08-08 14:21:03.834061+00:00
PEP,91,91.0,trailing_stop,sell,185.3577,185.36,filled,2023-08-08 14:17:55.084532+00:00,2023-08-08 14:17:55.616865+00:00
SPGI,43,43.0,trailing_stop,sell,384.5754,384.42,filled,2023-08-08 14:15:11.396570+00:00,2023-08-08 14:15:13.968489+00:00
LIN,44,44.0,trailing_stop,sell,379.962,379.44,filled,2023-08-08 14:15:09.288190+00:00,2023-08-08 14:15:09.877774+00:00
IBM,117,117.0,trailing_stop,sell,144.6885,144.67,filled,2023-08-08 14:15:02.992219+00:00,2023-08-08 14:15:05.371616+00:00
LRCX,24,24.0,trailing_stop,sell,689.3568,689.0,filled,2023-08-08 14:10:57.767942+00:00,2023-08-08 14:11:00.942928+00:00
UBER,380,380.0,trailing_stop,buy,44.541,44.56,filled,2023-08-08 14:08:07.578505+00:00,2023-08-08 14:08:08.493840+00:00
UNH,33,33.0,trailing_stop,sell,503.08335,503.0,filled,2023-08-08 14:06:50.451407+00:00,2023-08-08 14:06:51.287228+00:00
TSLA,68,68.0,trailing_stop,buy,247.4702,247.62,filled,2023-08-08 14:03:56.062766+00:00,2023-08-08 14:03:56.462089+00:00
CB,84,84.0,trailing_stop,sell,200.148201,200.12,filled,2023-08-08 13:57:53.806228+00:00,2023-08-08 13:57:56.060588+00:00
SBUX,168,168.0,trailing_stop,sell,100.33056,100.31994,filled,2023-08-08 13:57:48.781970+00:00,2023-08-08 13:57:51.662925+00:00
VRTX,49,49.0,trailing_stop,sell,346.3416,346.24,filled,2023-08-08 13:57:39.793756+00:00,2023-08-08 13:57:40.800644+00:00
PANW,79,79.0,trailing_stop,sell,210.771,210.740127,filled,2023-08-08 13:54:07.532940+00:00,2023-08-08 13:54:10.857586+00:00
MNST,292,292.0,trailing_stop,sell,57.9645,57.931096,filled,2023-08-08 13:49:36.678373+00:00,2023-08-08 13:49:41.964318+00:00
AMAT,113,113.0,trailing_stop,sell,146.124,146.04,filled,2023-08-08 13:45:21.700959+00:00,2023-08-08 13:45:23.559818+00:00
INTC,485,485.0,trailing_stop,sell,34.507836,34.5,filled,2023-08-08 13:44:30.463439+00:00,2023-08-08 13:44:30.849065+00:00
A,135,135.0,trailing_stop,sell,125.46765,125.13,filled,2023-08-08 13:43:12.652394+00:00,2023-08-08 13:43:13.020377+00:00
A,135,135.0,trailing_stop,sell,125.46765,125.13,filled,2023-08-08 13:43:12.645339+00:00,2023-08-08 13:43:13.522303+00:00
A,135,135.0,trailing_stop,sell,125.46765,125.13,filled,2023-08-08 13:43:12.630657+00:00,2023-08-08 13:43:14.429164+00:00
H,148,148.0,trailing_stop,buy,114.0492,114.32,filled,2023-08-08 13:42:36.663807+00:00,2023-08-08 13:42:37.317755+00:00
DUK,190,190.0,trailing_stop,sell,89.595,89.560789,filled,2023-08-08 13:40:01.240306+00:00,2023-08-08 13:40:03.352661+00:00
SCHW,259,259.0,trailing_stop,sell,64.1718,64.173436,filled,2023-08-08 13:39:41.717978+00:00,2023-08-08 13:39:42.986683+00:00
ELV,36,36.0,trailing_stop,buy,463.19105,464.45,filled,2023-08-08 13:39:05.395136+00:00,2023-08-08 13:39:06.101859+00:00
M,1066,1066.0,trailing_stop,sell,15.55785,15.55,filled,2023-08-08 13:35:42.143059+00:00,2023-08-08 13:35:43.007360+00:00
BAC,536,536.0,trailing_stop,sell,30.9276,30.92,filled,2023-08-08 13:35:24.501392+00:00,2023-08-08 13:35:25.003695+00:00
SPY,31,31.0,market,sell,,447.81,filled,2023-08-08 13:33:37.140617+00:00,2023-08-08 13:33:37.795670+00:00
ELV,36,36.0,market,sell,,458.116111,filled,2023-08-08 13:33:33.582753+00:00,2023-08-08 13:33:36.509197+00:00
UNP,74,74.0,market,sell,,228.72,filled,2023-08-08 13:33:32.204675+00:00,2023-08-08 13:33:32.394858+00:00
PFE,479,0.0,trailing_stop,buy,35.7439,,canceled,2023-08-08 13:33:32.096763+00:00,
PFE,479,479.0,market,sell,,36.14,filled,2023-08-08 13:33:29.722963+00:00,2023-08-08 13:33:31.517140+00:00
TSLA,68,68.0,market,sell,,248.4,filled,2023-08-08 13:33:28.348747+00:00,2023-08-08 13:33:29.015652+00:00
VMW,107,107.0,market,sell,,157.78,filled,2023-08-08 13:33:26.952642+00:00,2023-08-08 13:33:28.092941+00:00
C,373,373.0,market,sell,,44.740804,filled,2023-08-08 13:33:24.490535+00:00,2023-08-08 13:33:26.103234+00:00
JPM,109,109.0,market,sell,,154.16,filled,2023-08-08 13:33:23.099906+00:00,2023-08-08 13:33:23.796726+00:00
QCOM,143,143.0,market,sell,,116.87,filled,2023-08-08 13:33:21.724978+00:00,2023-08-08 13:33:22.380238+00:00
KLAC,33,33.0,market,sell,,498.91,filled,2023-08-08 13:33:19.258361+00:00,2023-08-08 13:33:20.669221+00:00
PG,109,0.0,trailing_stop,buy,158.096209,,canceled,2023-08-08 13:33:19.153910+00:00,
PG,109,109.0,market,sell,,157.29,filled,2023-08-08 13:33:16.803036+00:00,2023-08-08 13:33:18.638513+00:00
COST,30,0.0,trailing_stop,buy,557.3584,,canceled,2023-08-08 13:33:16.674374+00:00,
COST,30,30.0,market,sell,,556.612,filled,2023-08-08 13:33:11.023345+00:00,2023-08-08 13:33:15.487250+00:00
MSFT,51,51.0,market,sell,,327.37,filled,2023-08-08 13:33:09.630304+00:00,2023-08-08 13:33:09.913291+00:00
CME,82,0.0,trailing_stop,buy,206.6561,,canceled,2023-08-08 13:33:09.526671+00:00,
