Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
V,220,220.0,market,sell,,238.61,filled,2023-07-24 13:45:52.679278760+00:00,2023-07-24 13:45:54.356324895+00:00
PEP,279,279.0,market,sell,,190.58,filled,2023-07-24 13:45:52.572715960+00:00,2023-07-24 13:45:54.560040066+00:00
NEE,714,714.0,market,sell,,76.09,filled,2023-07-24 13:45:52.477849569+00:00,2023-07-24 13:45:54.947239731+00:00
MA,132,132.0,market,buy,,398.09,filled,2023-07-24 13:45:52.390743437+00:00,2023-07-24 13:45:53.882486689+00:00
CSCO,1010,1010.0,market,buy,,52.97,filled,2023-07-24 13:45:52.284210626+00:00,2023-07-24 13:45:53.288072944+00:00
UNH,104,104.0,trailing_stop,sell,505.30095,505.24,filled,2023-07-24 13:30:02.952875901+00:00,2023-07-24 13:30:38.778424557+00:00
MSFT,152,152.0,trailing_stop,buy,344.612,344.55671,filled,2023-07-21 19:50:03.351387+00:00,2023-07-21 19:50:05.755930+00:00
LLY,114,114.0,trailing_stop,sell,462.3696,462.220702,filled,2023-07-21 19:26:02.873288+00:00,2023-07-21 19:26:05.064070+00:00
ORCL,456,456.0,trailing_stop,sell,118.0773,118.0825,filled,2023-07-21 16:32:31.007950+00:00,2023-07-21 16:32:31.657391+00:00
PFE,1439,1439.0,trailing_stop,buy,37.269,37.27,filled,2023-07-21 15:25:14.010362+00:00,2023-07-21 15:25:14.727423+00:00
AMZN,407,407.0,trailing_stop,buy,129.69915,129.7,filled,2023-07-21 14:47:15.072303+00:00,2023-07-21 14:47:16.007550+00:00
VZ,1573,1573.0,trailing_stop,sell,33.4125,33.41,filled,2023-07-21 14:45:06.903359+00:00,2023-07-21 14:45:07.371114+00:00
BAC,1670,1670.0,trailing_stop,buy,31.7342,31.742611,filled,2023-07-21 14:41:09.211405+00:00,2023-07-21 14:41:13.031776+00:00
ABBV,372,372.0,trailing_stop,buy,143.3594,143.37,filled,2023-07-21 14:23:15.292752+00:00,2023-07-21 14:23:16.804721+00:00
ADBE,102,102.0,trailing_stop,sell,524.388249,524.26,filled,2023-07-21 14:02:19.504804+00:00,2023-07-21 14:02:20.318892+00:00
TXN,294,294.0,trailing_stop,sell,183.21831,183.11,filled,2023-07-21 13:48:55.450189+00:00,2023-07-21 13:48:55.942303+00:00
TSLA,201,201.0,trailing_stop,buy,264.454966,264.408209,filled,2023-07-21 13:46:46.028360+00:00,2023-07-21 13:46:48.595721+00:00
TMO,98,98.0,trailing_stop,buy,536.9261,537.11,filled,2023-07-21 13:43:14.463579+00:00,2023-07-21 13:43:16.445202+00:00
NFLX,121,121.0,trailing_stop,buy,437.671885,437.662067,filled,2023-07-21 13:42:27.304756+00:00,2023-07-21 13:42:29.683788+00:00
TSLA,201,201.0,market,sell,,263.210597,filled,2023-07-21 13:38:37.728885+00:00,2023-07-21 13:38:39.569863+00:00
PFE,1439,1439.0,market,sell,,37.02,filled,2023-07-21 13:38:36.361377+00:00,2023-07-21 13:38:36.939241+00:00
ABBV,372,372.0,market,sell,,142.45,filled,2023-07-21 13:38:32.805491+00:00,2023-07-21 13:38:36.001190+00:00
MSFT,152,152.0,market,sell,,347.01,filled,2023-07-21 13:38:31.445115+00:00,2023-07-21 13:38:32.479846+00:00
BAC,1670,1670.0,market,sell,,31.69,filled,2023-07-21 13:38:30.078067+00:00,2023-07-21 13:38:30.471985+00:00
NFLX,121,121.0,market,sell,,433.79,filled,2023-07-21 13:38:27.629782+00:00,2023-07-21 13:38:29.578858+00:00
MA,132,0.0,trailing_stop,buy,400.7175,,canceled,2023-07-21 13:38:27.521049+00:00,
MA,132,132.0,market,sell,,398.34,filled,2023-07-21 13:38:26.261167+00:00,2023-07-21 13:38:26.502555+00:00
AMZN,407,407.0,market,sell,,130.58,filled,2023-07-21 13:38:23.807804+00:00,2023-07-21 13:38:25.401595+00:00
TMO,98,98.0,market,sell,,531.01,filled,2023-07-21 13:38:21.324979+00:00,2023-07-21 13:38:23.562885+00:00
CSCO,1010,0.0,trailing_stop,buy,53.05025,,canceled,2023-07-21 13:38:21.220340+00:00,
CSCO,1010,1010.0,market,sell,,52.91,filled,2023-07-21 13:38:18.859589+00:00,2023-07-21 13:38:20.386089+00:00
PEP,279,0.0,trailing_stop,sell,189.5553,,canceled,2023-07-21 13:38:18.756578+00:00,
PEP,279,279.0,market,buy,,190.95,filled,2023-07-21 13:38:17.494851+00:00,2023-07-21 13:38:17.878430+00:00
LLY,114,114.0,market,buy,,465.37,filled,2023-07-21 13:38:16.116116+00:00,2023-07-21 13:38:16.702430+00:00
