Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
VRTX,74,74.0,market,buy,,347.81,filled,2023-08-01 19:58:00.454616748+00:00,2023-08-01 19:58:04.972338497+00:00
UNH,51,51.0,market,sell,,504.59,filled,2023-08-01 19:58:00.360397837+00:00,2023-08-01 19:58:02.555999827+00:00
TSLA,98,98.0,market,buy,,261.25,filled,2023-08-01 19:58:00.234298338+00:00,2023-08-01 19:58:01.343331767+00:00
TMO,47,47.0,market,buy,,546.426171,filled,2023-08-01 19:58:00.094617831+00:00,2023-08-01 19:58:04.023856344+00:00
TJX,303,303.0,market,sell,,86.35,filled,2023-08-01 19:57:59.977919911+00:00,2023-08-01 19:58:03.678895005+00:00
SPY,32,32.0,market,buy,,456.548438,filled,2023-08-01 19:57:59.870927521+00:00,2023-08-01 19:58:02.355756565+00:00
SCHW,397,397.0,market,sell,,65.76,filled,2023-08-01 19:57:59.743687542+00:00,2023-08-01 19:58:02.336018757+00:00
RTX,299,299.0,market,sell,,87.975251,filled,2023-08-01 19:57:59.616169474+00:00,2023-08-01 19:58:05.829317969+00:00
NOW,45,45.0,market,sell,,590.770445,filled,2023-08-01 19:57:59.487678806+00:00,2023-08-01 19:58:01.880015888+00:00
MSFT,78,78.0,market,buy,,336.59,filled,2023-08-01 19:57:59.374113946+00:00,2023-08-01 19:58:00.200220091+00:00
MS,287,287.0,market,sell,,90.934878,filled,2023-08-01 19:57:59.238527288+00:00,2023-08-01 19:58:03.985225657+00:00
LMT,58,58.0,market,sell,,451.74,filled,2023-08-01 19:57:59.096754501+00:00,2023-08-01 19:58:00.166709554+00:00
KO,424,424.0,market,buy,,61.76,filled,2023-08-01 19:57:58.981577922+00:00,2023-08-01 19:57:59.665788320+00:00
JPM,166,166.0,market,sell,,157.25,filled,2023-08-01 19:57:58.839441455+00:00,2023-08-01 19:58:01.957897891+00:00
ISRG,81,81.0,market,buy,,324.14,filled,2023-08-01 19:57:58.712749326+00:00,2023-08-01 19:57:59.164791385+00:00
INTU,51,51.0,market,buy,,508.83,filled,2023-08-01 19:57:58.526102623+00:00,2023-08-01 19:57:59.447530+00:00
IBM,182,182.0,market,buy,,143.44,filled,2023-08-01 19:57:58.270507236+00:00,2023-08-01 19:58:00.635871141+00:00
GS,73,73.0,market,sell,,357.482329,filled,2023-08-01 19:57:58.136404119+00:00,2023-08-01 19:58:01.710595804+00:00
ELV,55,55.0,market,sell,,467.22,filled,2023-08-01 19:57:58.001466441+00:00,2023-08-01 19:58:02.307237180+00:00
DHR,103,103.0,market,buy,,255.01,filled,2023-08-01 19:57:57.864071033+00:00,2023-08-01 19:57:57.982277973+00:00
CRM,116,116.0,market,buy,,224.29,filled,2023-08-01 19:57:57.735002615+00:00,2023-08-01 19:57:58.548734741+00:00
COST,46,46.0,market,sell,,555.37,filled,2023-08-01 19:57:57.576351039+00:00,2023-08-01 19:57:59.225821900+00:00
CI,89,89.0,market,sell,,295.666292,filled,2023-08-01 19:57:57.450316021+00:00,2023-08-01 19:57:59.851448953+00:00
C,551,551.0,market,sell,,47.12,filled,2023-08-01 19:57:57.333979352+00:00,2023-08-01 19:57:58.612997395+00:00
BAC,821,821.0,market,sell,,31.6,filled,2023-08-01 19:57:57.169332896+00:00,2023-08-01 19:57:58.890394180+00:00
AXP,155,155.0,market,sell,,169.557226,filled,2023-08-01 19:57:57.040355758+00:00,2023-08-01 19:57:58.569016449+00:00
ADI,131,131.0,market,buy,,199.649618,filled,2023-08-01 19:57:56.900339211+00:00,2023-08-01 19:58:01.160335124+00:00
ABT,236,236.0,market,buy,,110.5,filled,2023-08-01 19:57:56.789619861+00:00,2023-08-01 19:57:58.051456076+00:00
ABNB,172,172.0,market,buy,,148.92,filled,2023-08-01 19:57:56.653828923+00:00,2023-08-01 19:58:00.801740396+00:00
AAPL,133,133.0,market,buy,,195.67,filled,2023-08-01 19:57:56.527641805+00:00,2023-08-01 19:57:57.209161483+00:00
JNJ,156,156.0,trailing_stop,buy,168.9752715,168.7525,filled,2023-08-01 19:37:21.870244965+00:00,2023-08-01 19:37:26.489824165+00:00
ADP,106,106.0,trailing_stop,buy,248.6953,248.77,filled,2023-08-01 19:33:58.612887798+00:00,2023-08-01 19:34:00.340504211+00:00
AVGO,29,29.0,trailing_stop,buy,917.20475,917.47,filled,2023-08-01 18:22:38.215392560+00:00,2023-08-01 18:22:41.505891854+00:00
CVS,352,352.0,trailing_stop,sell,73.7962,73.78,filled,2023-08-01 16:05:08.736669144+00:00,2023-08-01 16:05:09.691486574+00:00
GE,230,230.0,trailing_stop,sell,112.3352115,112.320695,filled,2023-08-01 15:04:02.753093598+00:00,2023-08-01 15:04:06.569542607+00:00
WFC,569,569.0,trailing_stop,sell,45.393725,45.39,filled,2023-08-01 14:52:28.138825610+00:00,2023-08-01 14:52:29.368804288+00:00
NFLX,59,59.0,trailing_stop,buy,440.2258,440.24,filled,2023-08-01 14:30:48.697352875+00:00,2023-08-01 14:30:49.103134658+00:00
BA,110,110.0,trailing_stop,sell,239.4535,239.442909,filled,2023-08-01 14:11:31.054330988+00:00,2023-08-01 14:11:33.169438073+00:00
PFE,729,729.0,trailing_stop,buy,36.30655,36.3,filled,2023-08-01 13:53:08.438476743+00:00,2023-08-01 13:53:09.375800648+00:00
SPY,32,32.0,market,sell,,456.549063,filled,2023-08-01 13:39:34.319552688+00:00,2023-08-01 13:39:36.347288351+00:00
NFLX,59,59.0,market,sell,,433.354407,filled,2023-08-01 13:39:32.626456903+00:00,2023-08-01 13:39:33.880047098+00:00
PFE,729,729.0,market,sell,,35.8,filled,2023-08-01 13:39:28.927250423+00:00,2023-08-01 13:39:32.094981922+00:00
DHR,103,0.0,trailing_stop,buy,258.0333,,canceled,2023-08-01 13:39:28.792114811+00:00,
DHR,103,103.0,market,sell,,255.58,filled,2023-08-01 13:39:25.470488971+00:00,2023-08-01 13:39:27.648599311+00:00
TSLA,98,0.0,trailing_stop,buy,264.15375,,canceled,2023-08-01 13:39:25.347665433+00:00,
TSLA,98,98.0,market,sell,,264.3,filled,2023-08-01 13:39:24.070442919+00:00,2023-08-01 13:39:24.740972258+00:00
INTU,51,0.0,trailing_stop,buy,510.83935,,canceled,2023-08-01 13:39:23.917847317+00:00,
INTU,51,51.0,market,sell,,505.03,filled,2023-08-01 13:39:21.684820939+00:00,2023-08-01 13:39:23.596052183+00:00
CRM,116,0.0,trailing_stop,buy,224.95445,,canceled,2023-08-01 13:39:21.143615706+00:00,
CRM,116,116.0,market,sell,,222.6,filled,2023-08-01 13:39:19.910895151+00:00,2023-08-01 13:39:20.221848353+00:00
ISRG,81,0.0,trailing_stop,buy,326.7387515,,canceled,2023-08-01 13:39:19.637660948+00:00,
ISRG,81,81.0,market,sell,,322.19,filled,2023-08-01 13:39:17.359940326+00:00,2023-08-01 13:39:18.591373693+00:00
AAPL,133,0.0,trailing_stop,buy,198.2092,,canceled,2023-08-01 13:39:17.247905986+00:00,
AAPL,133,133.0,market,sell,,196.39,filled,2023-08-01 13:39:15.938816116+00:00,2023-08-01 13:39:16.723965384+00:00
VRTX,74,0.0,trailing_stop,buy,350.87535,,canceled,2023-08-01 13:39:15.831153649+00:00,
VRTX,74,74.0,market,sell,,350.01,filled,2023-08-01 13:39:13.551275896+00:00,2023-08-01 13:39:14.761652964+00:00
AVGO,29,29.0,market,sell,,911.21,filled,2023-08-01 13:39:12.132360326+00:00,2023-08-01 13:39:12.505510382+00:00
ABNB,172,0.0,trailing_stop,buy,150.49405,,canceled,2023-08-01 13:39:11.954415257+00:00,
ABNB,172,172.0,market,sell,,149.69,filled,2023-08-01 13:39:10.704643817+00:00,2023-08-01 13:39:11.454601868+00:00
TMO,47,0.0,trailing_stop,buy,551.2059,,canceled,2023-08-01 13:39:10.560724927+00:00,
TMO,47,47.0,market,sell,,546.11,filled,2023-08-01 13:39:09.342388902+00:00,2023-08-01 13:39:09.458880422+00:00
JNJ,156,156.0,market,sell,,166.630898,filled,2023-08-01 13:39:06.910251066+00:00,2023-08-01 13:39:08.564066684+00:00
KO,424,0.0,trailing_stop,buy,62.5443,,canceled,2023-08-01 13:39:06.774351955+00:00,
KO,424,424.0,market,sell,,62.101533,filled,2023-08-01 13:39:05.456591109+00:00,2023-08-01 13:39:06.059339204+00:00
ABT,236,0.0,trailing_stop,buy,111.96465,,canceled,2023-08-01 13:39:05.327504291+00:00,
ABT,236,236.0,market,sell,,110.56,filled,2023-08-01 13:39:03.104142075+00:00,2023-08-01 13:39:04.256093600+00:00
MSFT,78,0.0,trailing_stop,buy,338.807,,canceled,2023-08-01 13:39:02.985580314+00:00,
MSFT,78,78.0,market,sell,,334.43,filled,2023-08-01 13:39:01.860810750+00:00,2023-08-01 13:39:02.270486942+00:00
ADI,131,0.0,trailing_stop,buy,200.6655,,canceled,2023-08-01 13:39:01.638320230+00:00,
ADI,131,131.0,market,sell,,197.81,filled,2023-08-01 13:39:00.371157757+00:00,2023-08-01 13:39:00.931608035+00:00
IBM,182,0.0,trailing_stop,buy,144.30255,,canceled,2023-08-01 13:39:00.228345542+00:00,
IBM,182,182.0,market,sell,,144.07,filled,2023-08-01 13:38:57.945628869+00:00,2023-08-01 13:38:59.315489974+00:00
ADP,106,106.0,market,sell,,246.04,filled,2023-08-01 13:38:56.617986342+00:00,2023-08-01 13:38:57.440966796+00:00
RTX,299,0.0,trailing_stop,sell,86.88685,,canceled,2023-08-01 13:38:56.514279363+00:00,
RTX,299,299.0,market,buy,,87.88,filled,2023-08-01 13:38:55.284618854+00:00,2023-08-01 13:38:55.932617774+00:00
UNH,51,0.0,trailing_stop,sell,501.17785,,canceled,2023-08-01 13:38:55.136895171+00:00,
UNH,51,51.0,market,buy,,508.68,filled,2023-08-01 13:38:53.930787038+00:00,2023-08-01 13:38:54.194957644+00:00
SCHW,397,0.0,trailing_stop,sell,64.9509,,canceled,2023-08-01 13:38:53.816376183+00:00,
SCHW,397,397.0,market,buy,,65.82,filled,2023-08-01 13:38:52.496108960+00:00,2023-08-01 13:38:53.293057697+00:00
COST,46,0.0,trailing_stop,sell,554.4367015,,canceled,2023-08-01 13:38:52.385599448+00:00,
COST,46,46.0,market,buy,,561.74,filled,2023-08-01 13:38:51.176667881+00:00,2023-08-01 13:38:51.939595321+00:00
BA,110,110.0,market,buy,,242.12,filled,2023-08-01 13:38:49.823332155+00:00,2023-08-01 13:38:50.233219238+00:00
TJX,303,0.0,trailing_stop,sell,85.9314,,canceled,2023-08-01 13:38:49.713053036+00:00,
TJX,303,303.0,market,buy,,87.13,filled,2023-08-01 13:38:48.477273399+00:00,2023-08-01 13:38:48.686105+00:00
BAC,821,0.0,trailing_stop,sell,31.3821,,canceled,2023-08-01 13:38:48.280832250+00:00,
BAC,821,821.0,market,buy,,31.84,filled,2023-08-01 13:38:47.032694472+00:00,2023-08-01 13:38:47.792830842+00:00
NOW,45,0.0,trailing_stop,sell,582.6275,,canceled,2023-08-01 13:38:46.924976366+00:00,
NOW,45,45.0,market,buy,,579.01,filled,2023-08-01 13:38:44.648101401+00:00,2023-08-01 13:38:45.966768470+00:00
AXP,155,0.0,trailing_stop,sell,167.257925,,canceled,2023-08-01 13:38:44.531781614+00:00,
AXP,155,155.0,market,buy,,167.94,filled,2023-08-01 13:38:43.253274009+00:00,2023-08-01 13:38:43.635866614+00:00
LMT,58,0.0,trailing_stop,sell,446.3232,,canceled,2023-08-01 13:38:43.122837186+00:00,
LMT,58,58.0,market,buy,,449.75,filled,2023-08-01 13:38:41.892111394+00:00,2023-08-01 13:38:42.244465562+00:00
C,551,0.0,trailing_stop,sell,46.6693,,canceled,2023-08-01 13:38:41.729434756+00:00,
C,551,551.0,market,buy,,47.34,filled,2023-08-01 13:38:40.443590807+00:00,2023-08-01 13:38:40.910536384+00:00
CVS,352,352.0,market,buy,,74.86,filled,2023-08-01 13:38:39.013716349+00:00,2023-08-01 13:38:39.527416541+00:00
ELV,55,0.0,trailing_stop,sell,464.92,,canceled,2023-08-01 13:38:38.869551125+00:00,
ELV,55,55.0,market,buy,,472.54,filled,2023-08-01 13:38:37.560825342+00:00,2023-08-01 13:38:38.222946751+00:00
GE,230,230.0,market,buy,,113.93,filled,2023-08-01 13:38:36.128589114+00:00,2023-08-01 13:38:36.927684180+00:00
MS,287,0.0,trailing_stop,sell,89.8319015,,canceled,2023-08-01 13:38:35.910068324+00:00,
