Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
WFC,410,410.0,market,buy,,42.43,filled,2023-08-17 19:37:10.161192+00:00,2023-08-17 19:37:12.730900+00:00
VMW,111,111.0,market,buy,,155.54,filled,2023-08-17 19:37:10.052357+00:00,2023-08-17 19:37:10.548561+00:00
VLO,132,132.0,market,buy,,132.39,filled,2023-08-17 19:37:09.964497+00:00,2023-08-17 19:37:11.616111+00:00
UPS,101,101.0,market,sell,,170.512079,filled,2023-08-17 19:37:09.872120+00:00,2023-08-17 19:37:12.672977+00:00
TMUS,125,125.0,market,buy,,136.43,filled,2023-08-17 19:37:09.783557+00:00,2023-08-17 19:37:12.995655+00:00
TJX,194,194.0,market,buy,,88.28,filled,2023-08-17 19:37:09.693034+00:00,2023-08-17 19:37:11.784921+00:00
T,1230,1230.0,market,buy,,14.05,filled,2023-08-17 19:37:09.610725+00:00,2023-08-17 19:37:10.859867+00:00
STZ,65,65.0,market,buy,,257.38,filled,2023-08-17 19:37:09.512199+00:00,2023-08-17 19:37:11.729876+00:00
SRE,122,122.0,market,buy,,142.28,filled,2023-08-17 19:37:09.413289+00:00,2023-08-17 19:37:09.958360+00:00
SCHW,286,286.0,market,buy,,59.85,filled,2023-08-17 19:37:09.326194+00:00,2023-08-17 19:37:12.447748+00:00
SBUX,175,175.0,market,buy,,96.75,filled,2023-08-17 19:37:09.238152+00:00,2023-08-17 19:37:11.932865+00:00
REGN,21,21.0,market,buy,,797.38,filled,2023-08-17 19:37:09.150659+00:00,2023-08-17 19:37:11.307912+00:00
PANW,81,81.0,market,buy,,207.86,filled,2023-08-17 19:37:09.060439+00:00,2023-08-17 19:37:10.283131+00:00
OXY,277,277.0,market,buy,,63.22,filled,2023-08-17 19:37:08.981889+00:00,2023-08-17 19:37:10.845218+00:00
NXPI,88,88.0,market,buy,,194.04,filled,2023-08-17 19:37:08.883702+00:00,2023-08-17 19:37:10.232981+00:00
NOC,40,40.0,market,sell,,429.06,filled,2023-08-17 19:37:08.792822+00:00,2023-08-17 19:37:11.079325+00:00
NEE,256,256.0,market,buy,,67.59,filled,2023-08-17 19:37:08.703866+00:00,2023-08-17 19:37:09.661388+00:00
MMM,172,172.0,market,buy,,102.03,filled,2023-08-17 19:37:08.613759+00:00,2023-08-17 19:37:11.833120+00:00
LMT,38,38.0,market,sell,,447.2,filled,2023-08-17 19:37:08.532417+00:00,2023-08-17 19:37:08.952266+00:00
IBM,123,123.0,market,buy,,141.03,filled,2023-08-17 19:37:08.431768+00:00,2023-08-17 19:37:10.109864+00:00
HSY,79,79.0,market,sell,,217.99,filled,2023-08-17 19:37:08.339220+00:00,2023-08-17 19:37:10.159492+00:00
HD,52,52.0,market,buy,,327.55,filled,2023-08-17 19:37:08.247902+00:00,2023-08-17 19:37:08.412491+00:00
FTNT,298,298.0,market,sell,,57.559161,filled,2023-08-17 19:37:08.159542+00:00,2023-08-17 19:37:09.458087+00:00
ETN,80,80.0,market,buy,,214.61,filled,2023-08-17 19:37:07.866479+00:00,2023-08-17 19:37:09.394287+00:00
CME,84,84.0,market,buy,,204.51,filled,2023-08-17 19:37:07.735744+00:00,2023-08-17 19:37:09.676759+00:00
BDX,62,62.0,market,buy,,275.07,filled,2023-08-17 19:37:07.623096+00:00,2023-08-17 19:37:07.847435+00:00
BAC,592,592.0,market,sell,,29.23,filled,2023-08-17 19:37:06.874298+00:00,2023-08-17 19:37:07.940061+00:00
ATVI,190,190.0,market,buy,,90.55,filled,2023-08-17 19:37:06.711202+00:00,2023-08-17 19:37:06.971474+00:00
AON,53,53.0,market,buy,,319.5,filled,2023-08-17 19:37:06.622989+00:00,2023-08-17 19:37:07.446230+00:00
ADSK,85,85.0,market,buy,,199.21,filled,2023-08-17 19:37:06.532341+00:00,2023-08-17 19:37:09.502142+00:00
ADP,69,69.0,market,buy,,250.37,filled,2023-08-17 19:37:06.448548+00:00,2023-08-17 19:37:07.128425+00:00
VZ,521,521.0,trailing_stop,buy,33.1785,33.18,filled,2023-08-17 19:27:22.670879+00:00,2023-08-17 19:27:23.822136+00:00
