Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
XOM,115,115.0,market,buy,,111.81,filled,2023-08-14 19:57:53.976327+00:00,2023-08-14 19:57:55.347401+00:00
WFC,296,296.0,market,buy,,43.71,filled,2023-08-14 19:57:53.887845+00:00,2023-08-14 19:57:56.918732+00:00
VZ,388,388.0,market,buy,,33.55,filled,2023-08-14 19:57:53.812566+00:00,2023-08-14 19:57:55.707865+00:00
VMW,83,83.0,market,buy,,156.38,filled,2023-08-14 19:57:53.707628+00:00,2023-08-14 19:57:54.373097+00:00
V,54,54.0,market,sell,,242.73,filled,2023-08-14 19:57:53.639275+00:00,2023-08-14 19:57:55.803253+00:00
UPS,73,73.0,market,sell,,175.5,filled,2023-08-14 19:57:53.528636+00:00,2023-08-14 19:57:54.696460+00:00
TMUS,93,93.0,market,buy,,139.5,filled,2023-08-14 19:57:53.446881+00:00,2023-08-14 19:57:55.919910+00:00
T,902,902.0,market,buy,,14.27,filled,2023-08-14 19:57:53.350701+00:00,2023-08-14 19:57:54.222774+00:00
STZ,48,48.0,market,buy,,267.39,filled,2023-08-14 19:57:53.260221+00:00,2023-08-14 19:57:54.765880+00:00
SRE,89,89.0,market,buy,,142.43,filled,2023-08-14 19:57:53.176134+00:00,2023-08-14 19:57:53.736183+00:00
SBUX,128,128.0,market,buy,,100.97,filled,2023-08-14 19:57:53.081705+00:00,2023-08-14 19:57:54.145412+00:00
RSG,87,87.0,market,sell,,147.93,filled,2023-08-14 19:57:53.008334+00:00,2023-08-14 19:57:54.150689+00:00
PNC,99,99.0,market,sell,,127.23,filled,2023-08-14 19:57:52.920293+00:00,2023-08-14 19:57:54.861867+00:00
PM,134,134.0,market,sell,,95.92,filled,2023-08-14 19:57:52.816138+00:00,2023-08-14 19:57:56.207734+00:00
PFE,359,359.0,market,buy,,36.07,filled,2023-08-14 19:57:52.729460+00:00,2023-08-14 19:57:53.153783+00:00
PEP,70,70.0,market,buy,,183.48,filled,2023-08-14 19:57:52.638887+00:00,2023-08-14 19:57:54.623545+00:00
PAYX,103,103.0,market,sell,,124.87,filled,2023-08-14 19:57:52.546564+00:00,2023-08-14 19:57:53.048679+00:00
OXY,196,196.0,market,buy,,65.16,filled,2023-08-14 19:57:52.462291+00:00,2023-08-14 19:57:52.900445+00:00
NSC,60,60.0,market,sell,,215.4,filled,2023-08-14 19:57:52.368262+00:00,2023-08-14 19:57:53.441181+00:00
NOC,30,30.0,market,sell,,429.068,filled,2023-08-14 19:57:52.276881+00:00,2023-08-14 19:57:53.780128+00:00
MRVL,227,227.0,market,sell,,59.55,filled,2023-08-14 19:57:52.177273+00:00,2023-08-14 19:57:54.410359+00:00
MO,296,296.0,market,sell,,43.56,filled,2023-08-14 19:57:52.088024+00:00,2023-08-14 19:57:53.552790+00:00
MMM,124,124.0,market,buy,,103.48,filled,2023-08-14 19:57:52.000190+00:00,2023-08-14 19:57:54.170335+00:00
MCHP,158,158.0,market,sell,,82.94,filled,2023-08-14 19:57:51.904556+00:00,2023-08-14 19:57:52.348269+00:00
KO,212,212.0,market,buy,,60.89,filled,2023-08-14 19:57:51.813029+00:00,2023-08-14 19:57:52.617226+00:00
KLAC,27,27.0,market,sell,,490.702593,filled,2023-08-14 19:57:51.725151+00:00,2023-08-14 19:57:54.366427+00:00
KDP,383,383.0,market,buy,,33.74,filled,2023-08-14 19:57:51.630208+00:00,2023-08-14 19:57:55.225800+00:00
IBM,90,90.0,market,buy,,141.82,filled,2023-08-14 19:57:51.527140+00:00,2023-08-14 19:57:53.211630+00:00
HSY,58,58.0,market,sell,,224.43,filled,2023-08-14 19:57:51.451821+00:00,2023-08-14 19:57:53.025920+00:00
HD,39,39.0,market,buy,,329.84,filled,2023-08-14 19:57:51.365025+00:00,2023-08-14 19:57:51.739446+00:00
HCA,48,48.0,market,sell,,270.56,filled,2023-08-14 19:57:51.256484+00:00,2023-08-14 19:57:52.020217+00:00
GOOG,99,99.0,market,sell,,131.8,filled,2023-08-14 19:57:51.164662+00:00,2023-08-14 19:57:52.002767+00:00
GD,57,57.0,market,sell,,226.28,filled,2023-08-14 19:57:51.088959+00:00,2023-08-14 19:57:51.605336+00:00
FCX,313,313.0,market,sell,,41.18,filled,2023-08-14 19:57:50.982676+00:00,2023-08-14 19:57:53.608681+00:00
EW,163,163.0,market,sell,,80.520123,filled,2023-08-14 19:57:50.890280+00:00,2023-08-14 19:57:52.802489+00:00
ETN,59,59.0,market,buy,,219.09,filled,2023-08-14 19:57:50.799420+00:00,2023-08-14 19:57:53.106862+00:00
EOG,98,98.0,market,sell,,131.418164,filled,2023-08-14 19:57:50.709010+00:00,2023-08-14 19:57:52.440982+00:00
DUK,138,138.0,market,sell,,92.82,filled,2023-08-14 19:57:50.620878+00:00,2023-08-14 19:57:53.686243+00:00
DE,29,29.0,market,buy,,437.87,filled,2023-08-14 19:57:50.530127+00:00,2023-08-14 19:57:51.730461+00:00
CTAS,26,26.0,market,sell,,492.780769,filled,2023-08-14 19:57:50.437846+00:00,2023-08-14 19:57:51.832018+00:00
CME,63,63.0,market,buy,,206.39,filled,2023-08-14 19:57:50.339555+00:00,2023-08-14 19:57:50.477140+00:00
CHTR,30,30.0,market,sell,,426.937667,filled,2023-08-14 19:57:50.251302+00:00,2023-08-14 19:57:51.157411+00:00
CAT,45,45.0,market,sell,,284.16,filled,2023-08-14 19:57:50.152538+00:00,2023-08-14 19:57:51.195093+00:00
BSX,254,254.0,market,buy,,51.39,filled,2023-08-14 19:57:50.061355+00:00,2023-08-14 19:57:52.277494+00:00
BIDU,94,94.0,market,sell,,137.43,filled,2023-08-14 19:57:49.968572+00:00,2023-08-14 19:57:51.672627+00:00
