Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
WFC,579,579.0,market,sell,,45.14,filled,2023-08-03 19:55:07.078270136+00:00,2023-08-03 19:55:07.805868380+00:00
VRTX,72,72.0,market,buy,,347.59,filled,2023-08-03 19:55:06.990479284+00:00,2023-08-03 19:55:09.433564323+00:00
TMO,47,47.0,market,buy,,548.49,filled,2023-08-03 19:55:06.899649833+00:00,2023-08-03 19:55:07.523846796+00:00
TJX,305,305.0,market,sell,,86.08,filled,2023-08-03 19:55:06.832720619+00:00,2023-08-03 19:55:08.388422158+00:00
SPY,132,132.0,market,buy,,449.32,filled,2023-08-03 19:55:06.720358839+00:00,2023-08-03 19:55:09.213170243+00:00
SCHW,400,400.0,market,sell,,65.96,filled,2023-08-03 19:55:06.630563057+00:00,2023-08-03 19:55:07.256361830+00:00
PG,167,167.0,market,buy,,156.98,filled,2023-08-03 19:55:06.545936614+00:00,2023-08-03 19:55:08.955225966+00:00
PFE,369,369.0,market,buy,,34.99,filled,2023-08-03 19:55:06.453766233+00:00,2023-08-03 19:55:06.537632865+00:00
ORCL,226,226.0,market,buy,,114.6,filled,2023-08-03 19:55:06.372769180+00:00,2023-08-03 19:55:06.571787062+00:00
NOW,46,46.0,market,sell,,560.27,filled,2023-08-03 19:55:06.293579727+00:00,2023-08-03 19:55:07.574628151+00:00
MSFT,79,79.0,market,buy,,327.401139,filled,2023-08-03 19:55:06.189241767+00:00,2023-08-03 19:55:11.115955070+00:00
MS,292,292.0,market,sell,,89.21,filled,2023-08-03 19:55:06.097286505+00:00,2023-08-03 19:55:08.815962139+00:00
META,41,41.0,market,buy,,313.444878,filled,2023-08-03 19:55:05.991300465+00:00,2023-08-03 19:55:08.910393780+00:00
LMT,58,58.0,market,sell,,448.55,filled,2023-08-03 19:55:05.899594433+00:00,2023-08-03 19:55:07.044217669+00:00
KO,422,422.0,market,buy,,61.61,filled,2023-08-03 19:55:05.801845922+00:00,2023-08-03 19:55:06.385231739+00:00
JPM,168,168.0,market,sell,,156.41,filled,2023-08-03 19:55:05.754405036+00:00,2023-08-03 19:55:06.299352267+00:00
JNJ,153,153.0,market,buy,,170.749542,filled,2023-08-03 19:55:05.627563108+00:00,2023-08-03 19:55:07.025310621+00:00
IBM,181,181.0,market,buy,,144.73,filled,2023-08-03 19:55:05.545404865+00:00,2023-08-03 19:55:06.016897522+00:00
HD,79,79.0,market,sell,,329.746456,filled,2023-08-03 19:55:05.454550773+00:00,2023-08-03 19:55:07.664425403+00:00
GS,74,74.0,market,sell,,353.516892,filled,2023-08-03 19:55:05.384399710+00:00,2023-08-03 19:55:10.211060852+00:00
GE,233,233.0,market,sell,,112.48,filled,2023-08-03 19:55:05.276513180+00:00,2023-08-03 19:55:09.028723540+00:00
ELV,55,55.0,market,sell,,467.203636,filled,2023-08-03 19:55:05.195913377+00:00,2023-08-03 19:55:07.388974688+00:00
CRM,118,118.0,market,buy,,215.78,filled,2023-08-03 19:55:05.074121228+00:00,2023-08-03 19:55:05.881454725+00:00
COST,47,47.0,market,sell,,558.143191,filled,2023-08-03 19:55:04.982831786+00:00,2023-08-03 19:55:07.051645829+00:00
C,564,564.0,market,sell,,46.2,filled,2023-08-03 19:55:04.891313514+00:00,2023-08-03 19:55:07.033215690+00:00
BAC,838,838.0,market,sell,,31.41,filled,2023-08-03 19:55:04.804213022+00:00,2023-08-03 19:55:06.929434890+00:00
BA,113,113.0,market,sell,,231.309204,filled,2023-08-03 19:55:04.654872166+00:00,2023-08-03 19:55:06.305717206+00:00
AXP,156,156.0,market,sell,,166.331154,filled,2023-08-03 19:55:04.574957673+00:00,2023-08-03 19:55:07.559238733+00:00
AVGO,29,29.0,market,buy,,885.0,filled,2023-08-03 19:55:04.476374682+00:00,2023-08-03 19:55:07.746128606+00:00
ADP,105,105.0,market,buy,,248.25,filled,2023-08-03 19:55:04.392251360+00:00,2023-08-03 19:55:07.382104989+00:00
RTX,305,305.0,trailing_stop,sell,84.4145,84.41,filled,2023-08-03 18:39:26.503278874+00:00,2023-08-03 18:39:26.918915008+00:00
INTU,52,52.0,trailing_stop,buy,498.3244,498.900385,filled,2023-08-03 16:21:07.286076771+00:00,2023-08-03 16:21:08.311619685+00:00
DHR,101,101.0,trailing_stop,buy,258.3175,258.417327,filled,2023-08-03 15:22:37.057601823+00:00,2023-08-03 15:22:39.182538617+00:00
NFLX,60,60.0,trailing_stop,buy,435.8004,435.88,filled,2023-08-03 13:55:45.583598892+00:00,2023-08-03 13:55:46.166475840+00:00
TSLA,102,102.0,trailing_stop,buy,256.37885,256.32,filled,2023-08-03 13:47:34.527605626+00:00,2023-08-03 13:47:35.444811788+00:00
CVS,342,342.0,trailing_stop,sell,75.5298,75.468421,filled,2023-08-03 13:47:06.682371168+00:00,2023-08-03 13:47:08.180813611+00:00
ISRG,83,83.0,trailing_stop,buy,310.70165,310.847591,filled,2023-08-03 13:40:53.198594133+00:00,2023-08-03 13:40:55.598115769+00:00
ABNB,180,180.0,trailing_stop,buy,142.4553515,142.020833,filled,2023-08-03 13:35:38.074636917+00:00,2023-08-03 13:35:39.676707894+00:00
SPY,132,132.0,market,sell,,447.95,filled,2023-08-03 13:32:19.378140504+00:00,2023-08-03 13:32:19.727705962+00:00
DHR,101,101.0,market,sell,,256.36,filled,2023-08-03 13:32:18.002766707+00:00,2023-08-03 13:32:18.709520924+00:00
PFE,369,0.0,trailing_stop,buy,35.4438,,canceled,2023-08-03 13:32:17.885821459+00:00,
PFE,369,369.0,market,sell,,35.07,filled,2023-08-03 13:32:16.546271738+00:00,2023-08-03 13:32:17.449554247+00:00
INTU,52,52.0,market,sell,,494.95,filled,2023-08-03 13:32:15.129963715+00:00,2023-08-03 13:32:15.878008338+00:00
TSLA,102,102.0,market,sell,,252.992353,filled,2023-08-03 13:32:13.743713310+00:00,2023-08-03 13:32:14.584104794+00:00
ISRG,83,83.0,market,sell,,308.16759,filled,2023-08-03 13:32:12.328988077+00:00,2023-08-03 13:32:13.394118311+00:00
NFLX,60,60.0,market,sell,,431.27,filled,2023-08-03 13:32:09.673073045+00:00,2023-08-03 13:32:11.650885728+00:00
PG,167,0.0,trailing_stop,buy,158.55315,,canceled,2023-08-03 13:32:09.556555857+00:00,
PG,167,167.0,market,sell,,157.0,filled,2023-08-03 13:32:08.275077181+00:00,2023-08-03 13:32:08.472716403+00:00
CRM,118,0.0,trailing_stop,buy,217.82915,,canceled,2023-08-03 13:32:08.149980156+00:00,
CRM,118,118.0,market,sell,,216.39,filled,2023-08-03 13:32:06.709517952+00:00,2023-08-03 13:32:07.383137941+00:00
VRTX,72,0.0,trailing_stop,buy,352.2862,,canceled,2023-08-03 13:32:06.571955302+00:00,
VRTX,72,72.0,market,sell,,354.4,filled,2023-08-03 13:32:05.139405982+00:00,2023-08-03 13:32:05.799738253+00:00
ABNB,180,180.0,market,sell,,141.22,filled,2023-08-03 13:32:03.714587421+00:00,2023-08-03 13:32:04.258086222+00:00
JNJ,153,0.0,trailing_stop,buy,172.21505,,canceled,2023-08-03 13:32:03.235443344+00:00,
JNJ,153,153.0,market,sell,,170.14,filled,2023-08-03 13:32:00.863933946+00:00,2023-08-03 13:32:02.203814966+00:00
IBM,181,0.0,trailing_stop,buy,145.461274,,canceled,2023-08-03 13:32:00.739013927+00:00,
IBM,181,181.0,market,sell,,143.72,filled,2023-08-03 13:31:59.437572085+00:00,2023-08-03 13:31:59.589925061+00:00
META,41,0.0,trailing_stop,buy,316.5887515,,canceled,2023-08-03 13:31:59.321862817+00:00,
META,41,41.0,market,sell,,312.563902,filled,2023-08-03 13:31:55.812681290+00:00,2023-08-03 13:31:58.799099902+00:00
TMO,47,0.0,trailing_stop,buy,553.48965,,canceled,2023-08-03 13:31:55.689693540+00:00,
TMO,47,47.0,market,sell,,547.05,filled,2023-08-03 13:31:53.288961277+00:00,2023-08-03 13:31:54.466850641+00:00
AVGO,29,0.0,trailing_stop,buy,897.45285,,canceled,2023-08-03 13:31:53.181376264+00:00,
AVGO,29,29.0,market,sell,,885.27,filled,2023-08-03 13:31:49.656818853+00:00,2023-08-03 13:31:52.166228698+00:00
ORCL,226,0.0,trailing_stop,buy,115.9739,,canceled,2023-08-03 13:31:49.546710158+00:00,
ORCL,226,226.0,market,sell,,115.51,filled,2023-08-03 13:31:44.771939842+00:00,2023-08-03 13:31:48.657237583+00:00
ADP,105,0.0,trailing_stop,buy,249.80165,,canceled,2023-08-03 13:31:44.650618024+00:00,
ADP,105,105.0,market,sell,,247.4,filled,2023-08-03 13:31:41.136832378+00:00,2023-08-03 13:31:44.282521136+00:00
KO,422,0.0,trailing_stop,buy,62.447875,,canceled,2023-08-03 13:31:41.020259758+00:00,
KO,422,422.0,market,sell,,61.9,filled,2023-08-03 13:31:38.624298324+00:00,2023-08-03 13:31:39.844821984+00:00
MSFT,79,0.0,trailing_stop,buy,331.28585,,canceled,2023-08-03 13:31:38.506352203+00:00,
CI,87,87.0,trailing_stop,sell,285.44315,285.0,filled,2023-08-03 13:31:36.177196834+00:00,2023-08-03 13:31:37.149165516+00:00
MSFT,79,79.0,market,sell,,327.188608,filled,2023-08-03 13:31:36.068026404+00:00,2023-08-03 13:31:37.281761455+00:00
HD,79,0.0,trailing_stop,sell,327.1185,,canceled,2023-08-03 13:31:35.959358971+00:00,
HD,79,79.0,market,buy,,328.53,filled,2023-08-03 13:31:34.643703292+00:00,2023-08-03 13:31:35.112286309+00:00
SCHW,400,0.0,trailing_stop,sell,65.2661,,canceled,2023-08-03 13:31:34.531902622+00:00,
