Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
WDAY,57,57.0,market,sell,,224.287544,filled,2023-08-18 19:57:28.321106237+00:00,2023-08-18 19:57:29.203811306+00:00
UPS,75,75.0,market,sell,,171.21,filled,2023-08-18 19:57:28.224736856+00:00,2023-08-18 19:57:28.649581317+00:00
TMUS,94,94.0,market,buy,,136.15,filled,2023-08-18 19:57:28.116154126+00:00,2023-08-18 19:57:29.898525901+00:00
TJX,146,146.0,market,buy,,89.46,filled,2023-08-18 19:57:28.018372845+00:00,2023-08-18 19:57:29.477315860+00:00
SYK,46,46.0,market,sell,,277.54,filled,2023-08-18 19:57:27.918398524+00:00,2023-08-18 19:57:29.923564099+00:00
STZ,50,50.0,market,buy,,257.21,filled,2023-08-18 19:57:27.818514424+00:00,2023-08-18 19:57:28.887841175+00:00
SRE,91,91.0,market,buy,,141.46,filled,2023-08-18 19:57:27.703008424+00:00,2023-08-18 19:57:29.363282491+00:00
SCHW,216,216.0,market,buy,,59.5,filled,2023-08-18 19:57:27.597937734+00:00,2023-08-18 19:57:28.541499157+00:00
RSG,88,88.0,market,sell,,146.14,filled,2023-08-18 19:57:27.509109992+00:00,2023-08-18 19:57:28.588000962+00:00
PM,138,138.0,market,sell,,94.33,filled,2023-08-18 19:57:27.407970402+00:00,2023-08-18 19:57:28.035727544+00:00
PAYX,107,107.0,market,sell,,120.34,filled,2023-08-18 19:57:27.294887622+00:00,2023-08-18 19:57:28.241872105+00:00
NSC,62,62.0,market,sell,,211.99,filled,2023-08-18 19:57:27.185475582+00:00,2023-08-18 19:57:27.489158604+00:00
NEE,191,191.0,market,buy,,67.79,filled,2023-08-18 19:57:27.087159071+00:00,2023-08-18 19:57:27.385558873+00:00
MMM,127,127.0,market,buy,,99.992363,filled,2023-08-18 19:57:26.937789975+00:00,2023-08-18 19:57:30.816406177+00:00
LLY,24,24.0,market,sell,,546.49,filled,2023-08-18 19:57:26.842802904+00:00,2023-08-18 19:57:27.620681542+00:00
KLAC,27,27.0,market,sell,,477.9,filled,2023-08-18 19:57:26.735667164+00:00,2023-08-18 19:57:28.235104195+00:00
ISRG,44,44.0,market,buy,,285.52,filled,2023-08-18 19:57:26.632771613+00:00,2023-08-18 19:57:27.050443044+00:00
ICE,114,114.0,market,sell,,113.72,filled,2023-08-18 19:57:26.540932331+00:00,2023-08-18 19:57:27.005710609+00:00
HD,39,39.0,market,buy,,327.29,filled,2023-08-18 19:57:26.408864194+00:00,2023-08-18 19:57:27.628645011+00:00
HCA,48,48.0,market,sell,,269.0,filled,2023-08-18 19:57:26.312458153+00:00,2023-08-18 19:57:27.651045209+00:00
GD,58,58.0,market,sell,,224.28,filled,2023-08-18 19:57:26.201237813+00:00,2023-08-18 19:57:28.885344875+00:00
EOG,99,99.0,market,sell,,130.463738,filled,2023-08-18 19:57:26.104767492+00:00,2023-08-18 19:57:28.258337093+00:00
DUK,142,142.0,market,sell,,91.19,filled,2023-08-18 19:57:26.013539920+00:00,2023-08-18 19:57:29.403624747+00:00
CTAS,26,26.0,market,sell,,484.98,filled,2023-08-18 19:57:25.921212099+00:00,2023-08-18 19:57:27.140582036+00:00
CME,63,63.0,market,buy,,203.674445,filled,2023-08-18 19:57:25.817095709+00:00,2023-08-18 19:57:28.295583809+00:00
BX,133,133.0,market,sell,,98.83421,filled,2023-08-18 19:57:25.725303727+00:00,2023-08-18 19:57:27.974304859+00:00
BSX,254,254.0,market,buy,,50.16,filled,2023-08-18 19:57:25.638675885+00:00,2023-08-18 19:57:26.487731347+00:00
BA,57,57.0,market,sell,,226.52,filled,2023-08-18 19:57:25.548621883+00:00,2023-08-18 19:57:26.281782546+00:00
AXP,80,80.0,market,sell,,160.199375,filled,2023-08-18 19:57:25.426380205+00:00,2023-08-18 19:57:28.910196183+00:00
ATVI,143,143.0,market,buy,,90.45,filled,2023-08-18 19:57:25.336010193+00:00,2023-08-18 19:57:25.914356789+00:00
ADP,51,51.0,market,buy,,250.94,filled,2023-08-18 19:57:25.220973173+00:00,2023-08-18 19:57:26.250851338+00:00
ADM,156,156.0,market,sell,,82.81,filled,2023-08-18 19:57:25.128830382+00:00,2023-08-18 19:57:25.901196471+00:00
AFL,171,171.0,trailing_stop,sell,74.8341,74.82,filled,2023-08-18 19:53:20.308587+00:00,2023-08-18 19:53:20.970565+00:00
IBM,92,92.0,trailing_stop,buy,141.7232,141.73,filled,2023-08-18 19:46:55.060171+00:00,2023-08-18 19:46:56.217804+00:00
SBUX,134,134.0,trailing_stop,buy,97.3741,97.38,filled,2023-08-18 19:40:56.968440+00:00,2023-08-18 19:40:57.642290+00:00
