Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
UNP,74,74.0,market,buy,,229.02,filled,2023-08-09 19:58:09.138733+00:00,2023-08-09 19:58:10.108545+00:00
UNH,33,33.0,market,sell,,502.16,filled,2023-08-09 19:58:09.048266+00:00,2023-08-09 19:58:10.036486+00:00
TMO,30,30.0,market,buy,,547.92,filled,2023-08-09 19:58:08.951298+00:00,2023-08-09 19:58:10.070257+00:00
SPY,8,8.0,market,buy,,445.79,filled,2023-08-09 19:58:08.852840+00:00,2023-08-09 19:58:09.747697+00:00
RTX,198,198.0,market,sell,,87.72,filled,2023-08-09 19:58:08.736963+00:00,2023-08-09 19:58:12.023275+00:00
PG,108,108.0,market,buy,,156.85,filled,2023-08-09 19:58:08.641323+00:00,2023-08-09 19:58:09.527937+00:00
PFE,479,479.0,market,buy,,35.86,filled,2023-08-09 19:58:08.538315+00:00,2023-08-09 19:58:10.008326+00:00
PEP,92,92.0,market,sell,,183.96,filled,2023-08-09 19:58:08.459685+00:00,2023-08-09 19:58:09.165723+00:00
JPM,109,109.0,market,buy,,153.83,filled,2023-08-09 19:58:08.357746+00:00,2023-08-09 19:58:10.206874+00:00
COST,30,30.0,market,buy,,559.64,filled,2023-08-09 19:58:08.264708+00:00,2023-08-09 19:58:09.621053+00:00
C,378,378.0,market,buy,,44.46,filled,2023-08-09 19:58:08.178632+00:00,2023-08-09 19:58:08.833263+00:00
ACN,54,54.0,market,buy,,311.449815,filled,2023-08-09 19:58:07.894298+00:00,2023-08-09 19:58:09.056554+00:00
CHTR,40,40.0,trailing_stop,sell,419.562,419.50025,filled,2023-08-09 19:49:36.511083+00:00,2023-08-09 19:49:39.365868+00:00
LIN,44,44.0,trailing_stop,sell,380.0313,380.03,filled,2023-08-09 19:45:49.722505+00:00,2023-08-09 19:45:50.314588+00:00
QCOM,145,145.0,trailing_stop,buy,117.8468,117.85,filled,2023-08-09 18:35:57.067255+00:00,2023-08-09 18:35:57.302454+00:00
WFC,192,192.0,trailing_stop,buy,44.0057,44.01,filled,2023-08-09 18:33:43.007804+00:00,2023-08-09 18:33:44.097781+00:00
ELV,36,36.0,trailing_stop,buy,463.7415,463.99,filled,2023-08-09 18:32:16.915622+00:00,2023-08-09 18:32:17.841547+00:00
KLAC,34,34.0,trailing_stop,buy,499.4046,499.83,filled,2023-08-09 18:16:27.552529+00:00,2023-08-09 18:16:28.212801+00:00
BMY,284,284.0,trailing_stop,buy,60.7616,60.78,filled,2023-08-09 18:16:01.635626+00:00,2023-08-09 18:16:03.628229+00:00
CRM,80,80.0,trailing_stop,buy,206.9591,207.0,filled,2023-08-09 18:15:01.821056+00:00,2023-08-09 18:15:02.643384+00:00
REGN,21,21.0,trailing_stop,sell,787.8816,786.42,filled,2023-08-09 18:13:04.125235+00:00,2023-08-09 18:13:04.386792+00:00
WM,106,106.0,trailing_stop,buy,161.3475,161.39,filled,2023-08-09 17:45:21.908905+00:00,2023-08-09 17:45:23.685288+00:00
MC,357,357.0,trailing_stop,buy,47.6215,47.64,filled,2023-08-09 17:15:55.435357+00:00,2023-08-09 17:15:55.795843+00:00
MSFT,52,52.0,trailing_stop,buy,324.2605,324.27,filled,2023-08-09 17:14:33.723641+00:00,2023-08-09 17:14:34.434971+00:00
HON,91,91.0,trailing_stop,buy,188.87,188.94,filled,2023-08-09 17:10:14.260043+00:00,2023-08-09 17:10:14.765127+00:00
