Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
XOM,115,115.0,market,buy,,108.284435,filled,2023-08-15 19:58:40.564967660+00:00,2023-08-15 19:58:44.007511097+00:00
WFC,296,296.0,market,buy,,42.77,filled,2023-08-15 19:58:40.484637606+00:00,2023-08-15 19:58:40.842609426+00:00
VZ,386,386.0,market,buy,,33.26,filled,2023-08-15 19:58:40.385906705+00:00,2023-08-15 19:58:40.894777372+00:00
VMW,82,82.0,market,buy,,156.19,filled,2023-08-15 19:58:40.281661013+00:00,2023-08-15 19:58:40.715648487+00:00
UPS,73,73.0,market,sell,,173.35,filled,2023-08-15 19:58:40.192584801+00:00,2023-08-15 19:58:41.008635182+00:00
TMUS,92,92.0,market,buy,,138.607826,filled,2023-08-15 19:58:40.090354210+00:00,2023-08-15 19:58:43.387276699+00:00
T,909,909.0,market,buy,,14.14,filled,2023-08-15 19:58:39.947633702+00:00,2023-08-15 19:58:42.170129973+00:00
STZ,48,48.0,market,buy,,265.970417,filled,2023-08-15 19:58:39.805603074+00:00,2023-08-15 19:58:43.812281553+00:00
SRE,91,91.0,market,buy,,140.29,filled,2023-08-15 19:58:39.714821902+00:00,2023-08-15 19:58:40.546243601+00:00
SCCO,158,158.0,market,sell,,80.2,filled,2023-08-15 19:58:39.623797940+00:00,2023-08-15 19:58:41.140656941+00:00
SBUX,128,128.0,market,buy,,100.14,filled,2023-08-15 19:58:39.528650158+00:00,2023-08-15 19:58:40.336416899+00:00
REGN,16,16.0,market,buy,,806.95,filled,2023-08-15 19:58:39.435998186+00:00,2023-08-15 19:58:40.190018292+00:00
PM,135,135.0,market,sell,,94.69,filled,2023-08-15 19:58:39.344908124+00:00,2023-08-15 19:58:39.768639747+00:00
PFE,359,359.0,market,buy,,35.47,filled,2023-08-15 19:58:39.267752710+00:00,2023-08-15 19:58:41.480703072+00:00
PEP,70,70.0,market,buy,,181.519143,filled,2023-08-15 19:58:39.166698429+00:00,2023-08-15 19:58:42.641039203+00:00
PAYX,103,103.0,market,sell,,123.9,filled,2023-08-15 19:58:39.068231868+00:00,2023-08-15 19:58:39.568907205+00:00
OXY,199,199.0,market,buy,,63.61,filled,2023-08-15 19:58:38.984320735+00:00,2023-08-15 19:58:42.584569428+00:00
ODFL,31,31.0,market,buy,,409.59,filled,2023-08-15 19:58:38.887931792+00:00,2023-08-15 19:58:40.259225175+00:00
NEE,189,189.0,market,buy,,67.39,filled,2023-08-15 19:58:38.794145100+00:00,2023-08-15 19:58:39.280685889+00:00
MMM,125,125.0,market,buy,,101.25,filled,2023-08-15 19:58:38.709502018+00:00,2023-08-15 19:58:38.987086804+00:00
MELI,10,10.0,market,sell,,1285.49,filled,2023-08-15 19:58:38.609231877+00:00,2023-08-15 19:58:39.628582560+00:00
LLY,24,24.0,market,sell,,546.91125,filled,2023-08-15 19:58:38.517250355+00:00,2023-08-15 19:58:41.648215018+00:00
KDP,384,384.0,market,buy,,33.51,filled,2023-08-15 19:58:38.431571722+00:00,2023-08-15 19:58:38.981102995+00:00
JNJ,74,74.0,market,sell,,173.399189,filled,2023-08-15 19:58:38.330105631+00:00,2023-08-15 19:58:41.121475532+00:00
IBM,91,91.0,market,buy,,141.85,filled,2023-08-15 19:58:38.233799109+00:00,2023-08-15 19:58:38.429064112+00:00
ETN,59,59.0,market,buy,,218.14,filled,2023-08-15 19:58:38.141237917+00:00,2023-08-15 19:58:38.581135059+00:00
CTAS,26,26.0,market,sell,,488.91,filled,2023-08-15 19:58:38.050044596+00:00,2023-08-15 19:58:40.304682322+00:00
CME,62,62.0,market,buy,,205.37,filled,2023-08-15 19:58:37.968907252+00:00,2023-08-15 19:58:39.533123558+00:00
CHTR,30,30.0,market,sell,,428.05,filled,2023-08-15 19:58:37.860833732+00:00,2023-08-15 19:58:38.999613453+00:00
BX,132,132.0,market,sell,,97.53,filled,2023-08-15 19:58:37.769239330+00:00,2023-08-15 19:58:40.495705775+00:00
BDX,45,45.0,market,buy,,279.87,filled,2023-08-15 19:58:37.677971537+00:00,2023-08-15 19:58:38.656700722+00:00
AVGO,15,15.0,market,buy,,843.76,filled,2023-08-15 19:58:37.583137905+00:00,2023-08-15 19:58:39.167946749+00:00
ATVI,142,142.0,market,buy,,90.94,filled,2023-08-15 19:58:37.487120624+00:00,2023-08-15 19:58:38.646420363+00:00
APO,158,158.0,market,buy,,80.61,filled,2023-08-15 19:58:37.399443502+00:00,2023-08-15 19:58:37.996210170+00:00
AON,40,40.0,market,buy,,318.12,filled,2023-08-15 19:58:37.301843920+00:00,2023-08-15 19:58:38.018776098+00:00
AFL,169,169.0,market,sell,,75.81,filled,2023-08-15 19:58:37.208150908+00:00,2023-08-15 19:58:37.744962251+00:00
ADSK,61,61.0,market,buy,,209.767541,filled,2023-08-15 19:58:37.119556556+00:00,2023-08-15 19:58:40.426922711+00:00
ADP,51,51.0,market,buy,,251.12,filled,2023-08-15 19:58:37.030261804+00:00,2023-08-15 19:58:38.604157007+00:00
ABT,122,122.0,market,buy,,105.01,filled,2023-08-15 19:58:36.939828442+00:00,2023-08-15 19:58:40.397240674+00:00
AAPL,72,72.0,market,buy,,177.694861,filled,2023-08-15 19:58:36.848591220+00:00,2023-08-15 19:58:38.460541120+00:00
DUK,139,139.0,trailing_stop,sell,91.3968,91.39,filled,2023-08-15 19:51:54.195603+00:00,2023-08-15 19:51:54.753388+00:00
SCHW,209,209.0,trailing_stop,buy,60.9838,60.99,filled,2023-08-15 19:50:35.496026+00:00,2023-08-15 19:50:39.568797+00:00
CAT,45,45.0,trailing_stop,sell,277.1406,277.109778,filled,2023-08-15 19:45:49.659767+00:00,2023-08-15 19:45:50.899426+00:00
RSG,87,87.0,trailing_stop,sell,146.3715,146.36,filled,2023-08-15 19:35:27.062111+00:00,2023-08-15 19:35:28.967399+00:00
WDAY,56,56.0,trailing_stop,sell,230.075901,230.05,filled,2023-08-15 19:32:38.950981+00:00,2023-08-15 19:32:41.976774+00:00
KLAC,26,26.0,trailing_stop,sell,483.1101,482.97,filled,2023-08-15 19:30:50.871420+00:00,2023-08-15 19:30:51.657248+00:00
V,53,53.0,trailing_stop,sell,239.797701,239.76,filled,2023-08-15 19:30:30.271754+00:00,2023-08-15 19:30:30.712837+00:00
BIDU,94,94.0,trailing_stop,sell,134.8578,134.86,filled,2023-08-15 19:26:37.779389+00:00,2023-08-15 19:26:39.164522+00:00
GOOG,49,49.0,trailing_stop,sell,130.1751,130.150204,filled,2023-08-15 19:26:22.759839+00:00,2023-08-15 19:26:24.685832+00:00
GD,57,57.0,trailing_stop,sell,223.086501,223.038421,filled,2023-08-15 17:48:23.377346+00:00,2023-08-15 17:48:24.698444+00:00
LMT,28,28.0,trailing_stop,sell,445.5,445.32,filled,2023-08-15 17:41:35.675238+00:00,2023-08-15 17:41:36.060953+00:00
EW,161,161.0,trailing_stop,sell,79.8336,79.78,filled,2023-08-15 17:37:07.218955+00:00,2023-08-15 17:37:08.297132+00:00
HSY,57,57.0,trailing_stop,sell,221.2056,221.170175,filled,2023-08-15 17:10:05.119081+00:00,2023-08-15 17:10:06.704652+00:00
HD,39,39.0,trailing_stop,buy,331.8052,332.0,filled,2023-08-15 17:03:23.185301+00:00,2023-08-15 17:03:24.086107+00:00
FCX,314,314.0,trailing_stop,sell,39.7287,39.72,filled,2023-08-15 16:47:16.115201+00:00,2023-08-15 16:47:17.156964+00:00
PNC,101,101.0,trailing_stop,sell,123.9975,123.95,filled,2023-08-15 16:46:10.656868+00:00,2023-08-15 16:46:11.669468+00:00
BAC,419,419.0,trailing_stop,sell,30.0267,30.013055,filled,2023-08-15 16:46:02.541373+00:00,2023-08-15 16:46:04.581308+00:00
HCA,47,47.0,trailing_stop,sell,269.6067,269.43,filled,2023-08-15 16:36:22.648901+00:00,2023-08-15 16:36:23.405179+00:00
NSC,60,60.0,trailing_stop,sell,211.4541,211.373667,filled,2023-08-15 16:08:21.292528+00:00,2023-08-15 16:08:22.977540+00:00
NOC,30,30.0,trailing_stop,sell,424.1061,423.93,filled,2023-08-15 15:45:39.609161+00:00,2023-08-15 15:45:42.575512+00:00
PANW,59,59.0,trailing_stop,buy,218.486129,218.55,filled,2023-08-15 15:38:02.127260+00:00,2023-08-15 15:38:02.644405+00:00
BSX,252,252.0,trailing_stop,buy,51.7827,51.8,filled,2023-08-15 15:28:31.045094+00:00,2023-08-15 15:28:34.326312+00:00
MCHP,156,156.0,trailing_stop,sell,81.7443,81.739359,filled,2023-08-15 15:26:39.297120+00:00,2023-08-15 15:26:41.635435+00:00
INTU,25,25.0,trailing_stop,buy,503.6668,504.04,filled,2023-08-15 15:17:11.311876+00:00,2023-08-15 15:17:11.702755+00:00
ABNB,97,97.0,trailing_stop,buy,131.2495,131.3,filled,2023-08-15 15:04:25.211236+00:00,2023-08-15 15:04:25.744019+00:00
ANET,72,72.0,trailing_stop,buy,179.6386,179.807778,filled,2023-08-15 15:03:43.639785+00:00,2023-08-15 15:03:44.404995+00:00
SNOW,84,84.0,trailing_stop,buy,151.6111,151.67,filled,2023-08-15 15:02:48.449873+00:00,2023-08-15 15:02:51.482702+00:00
AXP,78,78.0,trailing_stop,sell,162.459,162.43,filled,2023-08-15 14:53:06.536465+00:00,2023-08-15 14:53:06.837631+00:00
ADM,152,152.0,trailing_stop,sell,83.45205,83.44,filled,2023-08-15 14:37:06.504335+00:00,2023-08-15 14:37:08.670596+00:00
EOG,98,98.0,trailing_stop,sell,128.6505,128.645103,filled,2023-08-15 14:32:51.953101+00:00,2023-08-15 14:32:55.573472+00:00
AZO,5,5.0,trailing_stop,sell,2511.729,2505.24,filled,2023-08-15 14:24:44.886673+00:00,2023-08-15 14:24:45.653404+00:00
INTC,363,363.0,trailing_stop,buy,35.47625,35.48,filled,2023-08-15 14:22:04.637620+00:00,2023-08-15 14:22:06.306283+00:00
TEAM,64,64.0,trailing_stop,sell,196.834968,196.74,filled,2023-08-15 14:20:33.906170+00:00,2023-08-15 14:20:35.520787+00:00
FTNT,217,217.0,trailing_stop,sell,59.5386,59.53,filled,2023-08-15 14:06:13.025261+00:00,2023-08-15 14:06:13.780427+00:00
BABA,138,138.0,trailing_stop,sell,90.9414,90.93,filled,2023-08-15 14:05:22.652494+00:00,2023-08-15 14:05:23.352458+00:00
MRVL,217,217.0,trailing_stop,sell,59.0733,59.07,filled,2023-08-15 14:00:33.229019+00:00,2023-08-15 14:00:34.104601+00:00
MMM,125,0.0,trailing_stop,buy,101.9292,,canceled,2023-08-15 13:49:05.980645+00:00,
MMM,125,125.0,market,sell,,101.22,filled,2023-08-15 13:49:03.745492+00:00,2023-08-15 13:49:05.475113+00:00
INTC,363,363.0,market,sell,,35.31,filled,2023-08-15 13:49:01.425003+00:00,2023-08-15 13:49:03.221521+00:00
SNOW,84,84.0,market,sell,,151.28,filled,2023-08-15 13:49:00.099963+00:00,2023-08-15 13:49:00.547380+00:00
ANET,72,72.0,market,sell,,179.71,filled,2023-08-15 13:48:55.720293+00:00,2023-08-15 13:48:59.421680+00:00
TMUS,92,0.0,trailing_stop,buy,139.7335,,canceled,2023-08-15 13:48:55.598492+00:00,
TMUS,92,92.0,market,sell,,139.09,filled,2023-08-15 13:48:54.401929+00:00,2023-08-15 13:48:54.814373+00:00
APO,158,0.0,trailing_stop,buy,81.2949,,canceled,2023-08-15 13:48:54.295787+00:00,
APO,158,158.0,market,sell,,80.91,filled,2023-08-15 13:48:52.084745+00:00,2023-08-15 13:48:53.757362+00:00
ABNB,97,97.0,market,sell,,131.210103,filled,2023-08-15 13:48:49.771550+00:00,2023-08-15 13:48:51.419192+00:00
ADSK,61,0.0,trailing_stop,buy,210.8981,,canceled,2023-08-15 13:48:49.669786+00:00,
ADSK,61,61.0,market,sell,,209.87,filled,2023-08-15 13:48:48.415126+00:00,2023-08-15 13:48:48.890910+00:00
OXY,199,0.0,trailing_stop,buy,64.00471,,canceled,2023-08-15 13:48:48.317565+00:00,
OXY,199,199.0,market,sell,,64.26,filled,2023-08-15 13:48:46.092380+00:00,2023-08-15 13:48:47.450496+00:00
XOM,115,0.0,trailing_stop,buy,109.04465,,canceled,2023-08-15 13:48:45.976416+00:00,
XOM,115,115.0,market,sell,,109.030609,filled,2023-08-15 13:48:43.707720+00:00,2023-08-15 13:48:45.218947+00:00
ATVI,142,0.0,trailing_stop,buy,91.6777,,canceled,2023-08-15 13:48:43.609029+00:00,
ATVI,142,142.0,market,sell,,91.0,filled,2023-08-15 13:48:42.420923+00:00,2023-08-15 13:48:43.055350+00:00
STZ,48,0.0,trailing_stop,buy,268.1651,,canceled,2023-08-15 13:48:42.306195+00:00,
STZ,48,48.0,market,sell,,266.01,filled,2023-08-15 13:48:41.095219+00:00,2023-08-15 13:48:41.671465+00:00
SRE,91,0.0,trailing_stop,buy,141.5212,,canceled,2023-08-15 13:48:40.984226+00:00,
SRE,91,91.0,market,sell,,141.39,filled,2023-08-15 13:48:39.793335+00:00,2023-08-15 13:48:40.786777+00:00
IBM,91,0.0,trailing_stop,buy,142.8342,,canceled,2023-08-15 13:48:39.687355+00:00,
IBM,91,91.0,market,sell,,141.58,filled,2023-08-15 13:48:38.474375+00:00,2023-08-15 13:48:39.332500+00:00
HD,39,39.0,market,sell,,333.1,filled,2023-08-15 13:48:35.112316+00:00,2023-08-15 13:48:37.765781+00:00
VMW,82,0.0,trailing_stop,buy,156.7217,,canceled,2023-08-15 13:48:35.013402+00:00,
VMW,82,82.0,market,sell,,156.5,filled,2023-08-15 13:48:32.810281+00:00,2023-08-15 13:48:34.460192+00:00
T,909,0.0,trailing_stop,buy,14.2612,,canceled,2023-08-15 13:48:32.701281+00:00,
T,909,909.0,market,sell,,14.14,filled,2023-08-15 13:48:29.476179+00:00,2023-08-15 13:48:31.944222+00:00
AON,40,0.0,trailing_stop,buy,320.675,,canceled,2023-08-15 13:48:29.376069+00:00,
