Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
VZ,1567,1567.0,market,sell,,34.04,filled,2023-07-28 19:55:02.331788528+00:00,2023-07-28 19:55:03.027759005+00:00
V,224,224.0,market,sell,,235.41,filled,2023-07-28 19:55:02.228647557+00:00,2023-07-28 19:55:02.689035176+00:00
TXN,295,295.0,market,sell,,178.79,filled,2023-07-28 19:55:02.139617436+00:00,2023-07-28 19:55:02.463240427+00:00
PFE,1452,1452.0,market,buy,,36.13,filled,2023-07-28 19:55:02.048470524+00:00,2023-07-28 19:55:04.141302275+00:00
PEP,278,278.0,market,sell,,190.545612,filled,2023-07-28 19:55:01.964556692+00:00,2023-07-28 19:55:03.226292858+00:00
ORCL,451,451.0,market,sell,,115.96,filled,2023-07-28 19:55:01.892425208+00:00,2023-07-28 19:55:02.749117051+00:00
MA,133,133.0,market,buy,,393.007068,filled,2023-07-28 19:55:01.783288428+00:00,2023-07-28 19:55:03.854044651+00:00
LLY,115,115.0,market,sell,,459.105478,filled,2023-07-28 19:55:01.693731136+00:00,2023-07-28 19:55:03.760500339+00:00
CSCO,992,992.0,market,buy,,52.14,filled,2023-07-28 19:55:01.600833174+00:00,2023-07-28 19:55:02.491141954+00:00
BAC,1645,1645.0,market,buy,,31.89,filled,2023-07-28 19:55:01.509591332+00:00,2023-07-28 19:55:05.737460581+00:00
ADBE,102,102.0,market,sell,,530.01,filled,2023-07-28 19:55:01.439928629+00:00,2023-07-28 19:55:02.363663565+00:00
MSFT,159,159.0,trailing_stop,buy,338.16755,338.2,filled,2023-07-28 15:39:05.957449706+00:00,2023-07-28 15:39:06.391749137+00:00
NEE,717,717.0,trailing_stop,sell,73.2643,73.25,filled,2023-07-28 15:33:59.728523292+00:00,2023-07-28 15:34:00.347100046+00:00
ABBV,353,353.0,trailing_stop,buy,150.783325,150.8,filled,2023-07-28 14:39:19.626673442+00:00,2023-07-28 14:39:22.791727058+00:00
XOM,498,498.0,trailing_stop,buy,103.8548,103.86,filled,2023-07-28 13:58:27.787936468+00:00,2023-07-28 13:58:28.066220673+00:00
UNH,104,104.0,trailing_stop,sell,499.34575,499.27,filled,2023-07-28 13:52:57.350917483+00:00,2023-07-28 13:52:57.804677053+00:00
META,168,168.0,trailing_stop,buy,318.9618215,318.99,filled,2023-07-28 13:51:35.611473148+00:00,2023-07-28 13:51:35.982364925+00:00
NFLX,127,127.0,trailing_stop,buy,419.9664,420.368819,filled,2023-07-28 13:51:24.591820459+00:00,2023-07-28 13:51:25.273386088+00:00
TSLA,205,205.0,trailing_stop,buy,262.1441515,262.16,filled,2023-07-28 13:48:59.511432685+00:00,2023-07-28 13:49:00.081532293+00:00
