Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
INTC,495,495.0,trailing_stop,sell,35.1945,35.19,filled,2023-08-07 14:01:39.355261+00:00,2023-08-07 14:01:40.433033+00:00
H,155,155.0,trailing_stop,buy,113.6553,113.7,filled,2023-08-07 13:57:42.150257+00:00,2023-08-07 13:57:42.941930+00:00
META,56,56.0,trailing_stop,buy,315.928,315.97,filled,2023-08-07 13:55:38.430290+00:00,2023-08-07 13:55:39.346038+00:00
CHTR,41,41.0,trailing_stop,sell,417.9978,417.6,filled,2023-08-07 13:44:59.022352+00:00,2023-08-07 13:45:00.448337+00:00
FCX,409,409.0,trailing_stop,sell,42.2532,42.25,filled,2023-08-07 13:44:36.315056+00:00,2023-08-07 13:44:36.470332+00:00
HUM,35,35.0,trailing_stop,buy,493.27895,493.71,filled,2023-08-07 13:43:22.879139+00:00,2023-08-07 13:43:24.577607+00:00
PANW,79,79.0,trailing_stop,sell,215.325,215.27,filled,2023-08-07 13:41:51.009537+00:00,2023-08-07 13:41:51.544486+00:00
TSLA,68,68.0,trailing_stop,buy,252.146601,252.38,filled,2023-08-07 13:36:51.665264+00:00,2023-08-07 13:36:52.325514+00:00
M,1068,1068.0,trailing_stop,sell,16.18155,16.18,filled,2023-08-07 13:35:25.999228+00:00,2023-08-07 13:35:27.039518+00:00
M,1068,1068.0,trailing_stop,sell,16.18155,16.18,filled,2023-08-07 13:35:25.991653+00:00,2023-08-07 13:35:26.590842+00:00
MC,362,362.0,trailing_stop,buy,48.563123,48.870691,filled,2023-08-07 13:35:21.059377+00:00,2023-08-07 13:35:22.343582+00:00
UNP,76,76.0,market,sell,,229.55,filled,2023-08-07 13:33:30.336451+00:00,2023-08-07 13:33:31.104347+00:00
PFE,497,497.0,market,sell,,35.02,filled,2023-08-07 13:33:23.365143+00:00,2023-08-07 13:33:28.874625+00:00
ELV,37,37.0,market,sell,,466.34,filled,2023-08-07 13:33:21.286779+00:00,2023-08-07 13:33:21.500861+00:00
VMW,110,110.0,market,sell,,158.35,filled,2023-08-07 13:33:16.888280+00:00,2023-08-07 13:33:19.555975+00:00
NFLX,40,40.0,market,sell,,436.29,filled,2023-08-07 13:33:14.881811+00:00,2023-08-07 13:33:16.216126+00:00
C,381,381.0,market,sell,,46.180735,filled,2023-08-07 13:33:11.494188+00:00,2023-08-07 13:33:12.949925+00:00
KLAC,35,35.0,market,sell,,498.69,filled,2023-08-07 13:33:08.408816+00:00,2023-08-07 13:33:10.459019+00:00
