Ticker
A
AAPL
ABBV
ABNB
ABT
ACN
AM
AMAT
AMGN
AMZN
ANET
AON
AP
ATVI
AVGO
AXP
B
BA
BABA
BAC
BKNG
BLK
BMY
BRK.A
BSX
BX
C
CAT
CB
CHTR
CI
CL
CMCSA
CME
COP
COST
CRM
CSCO
CSX
CVS
CVX
DE
DHR
DIS
DUK
EL
ELV
EOG
EP
ETN
F
FCX
FI
G
GE
GIL
GOOG
GS
H
HCA
HON
HUM
IBM
ICE
INTC
INTU
ISRG
ITW
JNJ
JPM
KLAC
KO
LIN
LLY
LMT
LOW
LRCX
M
MA
MAR
MC
MCK
MCO
MELI
META
MMC
MMM
MNST
MO
MRK
MS
MSFT
MU
NEE
NFLX
NKE
NOC
NOW
NTES
NVDA
ORCL
ORLY
OXY
P
PANW
PEP
PFE
PG
PGR
PM
PYPL
QCOM
REGN
RTX
SBUX
SCCO
SCHW
SHOP
SHW
SLB
SNPS
SO
SPGI
SYK
T
TGT
TJX
TMO
TMUS
TSLA
TXN
UBER
UNH
UNP
UPS
USB
V
VMW
VRTX
VZ
W
WFC
WM
WMT
XOM
ZTS
