Ticker
AAPL
ABBV
ABNB
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AFL
AJG
AMAT
AMD
AMGN
AMZN
ANET
AON
APD
APH
APO
ATVI
AVGO
AXP
AZO
BA
BABA
BAC
BDX
BIDU
BKNG
BLK
BMY
BN
BRK.A
BSX
BX
C
CARR
CAT
CB
CDNS
CHTR
CI
CL
CMCSA
CME
CMG
COP
COST
CRM
CSCO
CSX
CTAS
CVS
CVX
DE
DHR
DIS
DUK
DXCM
ECL
EL
ELV
EMR
EOG
EPD
ETN
EW
F
FCX
FDX
FI
FTNT
GD
GE
GILD
GM
GOOG
GS
HCA
HD
HES
HON
HSY
HUM
IBM
ICE
INTC
INTU
ISRG
ITW
JNJ
JPM
KDP
KKR
KLAC
KMB
KO
LIN
LLY
LMT
LOW
LRCX
LULU
MA
MAR
MCD
MCHP
MCK
MCO
MDLZ
MDT
MELI
MET
META
MMC
MMM
MNST
MO
MPC
MRK
MRVL
MS
MSCI
MSFT
MSI
MU
NEE
NFLX
NKE
NOC
NOW
NSC
NTES
NXPI
ODFL
ORCL
ORLY
OXY
PANW
PAYX
PCAR
PDD
PEP
PFE
PG
PGR
PH
PM
PNC
PSX
PXD
PYPL
QCOM
REGN
ROP
RSG
RTX
SBUX
SCCO
SCHW
SHOP
SHW
SLB
SNOW
SNPS
SO
SPGI
SRE
STZ
SYK
T
TDG
TEAM
TGT
TJX
TMO
TMUS
TSLA
TT
TXN
UBER
UNH
UNP
UPS
USB
V
VLO
VMW
VRTX
VZ
WDAY
WFC
WM
WMT
XOM
ZTS
