Ticker
AAPL
MSFT
GOOG
AMZN
NVDA
TSLA
META
BRK.A
V
UNH
JPM
LLY
WMT
JNJ
XOM
MA
AVGO
PG
ORCL
HD
CVX
MRK
KO
PEP
COST
ABBV
ADBE
BAC
CRM
MCD
ACN
CSCO
PFE
TMO
NFLX
ABT
AMD
LIN
DHR
CMCSA
NKE
TXN
WFC
DIS
UPS
PM
NEE
MS
VZ
INTC
